"","White","White British","White Irish","White Gypsy/Traveller","White other"
"Household type","%","%","%","%","%"
"All full-time students","0.4","0.4","0.5","0.5","1.2"
"Any other household type","4.1","3.6","5.5","4.6","13.5"
"Cohab, Dependent children","4.2","4.3","2.2","6.3","4.1"
"Cohab, no children","5.6","5.5","4.8","3.2","8.1"
"Cohab, non-dependent children","0.5","0.5","0.4","0.6","0.2"
"Lone parent, Dependent children","6.7","6.7","4.2","20.4","6.1"
"Lone parent, non-dependent children","3.5","3.5","5.3","4.1","2.1"
"Married, Dependent children","14.2","14.1","10.4","12.6","18.9"
"Married, no children","13.0","13.2","9.9","6.8","10.3"
"Married, non-dependent children","5.7","5.9","5.7","3.6","2.8"
"Other, All pensioners","0.3","0.3","0.5","0.2","0.1"
"Other, with dependent children","2.0","1.8","1.4","5.6","5.2"
"Pensioner couple","8.9","9.2","9.3","2.0","2.6"
"Single non-pensioner","17.5","17.3","20.3","23.3","19.9"
"Single pensioner","13.4","13.8","19.4","6.1","4.9"
