"","Black","","Mixed","","White","","Other inc Asian","","Unknown",""
"Time","%","Number","%","Number","%","Number","%","Number","%","Number"
"2005/06","12.5","355","7.0","198","71.7","2,031","5.2","147","3.5","100"
"2006/07","13.4","390","7.1","208","70.5","2,056","5.3","154","3.7","107"
"2007/08","13.6","399","7.0","206","71.2","2,087","4.1","119","4.1","121"
"2008/09","14.0","402","6.5","188","66.3","1,909","4.9","142","8.4","242"
"2009/10","14.1","340","6.9","168","67.9","1,641","6.0","146","5.1","123"
"2010/11","17.2","351","6.0","123","63.9","1,303","6.5","133","6.4","130"
"2011/12","15.7","308","6.1","119","61.9","1,216","6.8","134","9.5","186"
"2012/13","21.0","325","8.7","135","59.1","912","7.6","118","3.5","54"
"2013/14","22.4","272","9.3","113","60.0","730","8.3","101","0.1","1"
"2014/15","21.1","219","9.7","101","60.5","627","8.7","90","0.1","1"
"2015/16","21.4","205","9.8","94","57.9","556","10.4","100","0.5","5"
"2016/17","23.4","203","11.3","98","54.4","472","10.3","90","0.6","6"
"2017/18","25.3","226","10.4","93","54.3","485","9.3","83","0.7","6"
"2018/19","27.8","239","11.7","100","50.6","434","8.8","76","1.1","10"
