"","White","","","","Other than White","","",""
"Year","Remand","DTO","Section 91","Other Sentences","Remand","DTO","Section 91","Other Sentences"
"2010/11","21.8","61.7","12.9","3.6","32.6","42.6","19.0","5.9"
"2011/12","21.4","63.7","11.5","3.4","28.5","49.3","17.9","4.4"
"2012/13","18.2","64.5","14.2","3.1","26.6","48.2","21.7","3.5"
"2013/14","18.2","64.1","14.5","3.2","26.0","46.0","24.4","3.5"
"2014/15","18.5","59.6","18.0","4.0","30.1","44.2","21.6","4.1"
"2015/16","19.2","58.1","18.9","3.8","26.1","43.5","24.9","5.5"
"2016/17","17.7","55.5","22.2","4.6","25.2","41.9","26.6","6.3"
"2017/18","19.4","52.9","22.9","4.8","30.1","35.7","27.8","6.4"
"2018/19","23.8","45.2","25.6","5.4","32.5","28.1","31.3","8.0"
