"","2013/14","","2014/15","","2015/16","","2016/17","","2017/18","","2018/19",""
"Ethnicity","%","Sample size","%","Sample size","%","Sample size","%","Sample size","%","Sample size","%","Sample size"
"All","6.5","20,644","6.1","18,887","6.1","19,769","5.9","20,578","6.1","10,046","6.3","9,745"
"Asian","4.8","1,283","2.4","1,161","3.1","1,240","2.0","1,386","4.9","737","4.1","706"
"Bangladeshi","5.9","101","0.5","92","4.2","90","1.3","131","2.8","64","1.1","75"
"Chinese","3.4","118","0.9","105","3.1","136","0.6","138","11.4","61","2.4","60"
"Indian","3.9","515","3.4","451","3.0","495","3.0","543","4.8","293","4.5","272"
"Pakistani","5.5","301","3.0","281","3.5","294","2.3","333","4.5","191","4.6","171"
"Asian other","6.1","248","0.9","232","2.3","225","0.3","241","4.1","128","5.6","128"
"Black","4.5","697","7.0","653","7.4","616","6.5","710","6.1","334","7.4","319"
"Black African","4.0","427","5.2","389","7.0","390","6.0","459","4.7","194","5.6","213"
"Black Caribbean","5.6","239","7.2","218","9.2","187","6.8","196","6.9","115","!","!"
"Black other","?","31","?","46","?","39","9.8","55","?","25","?","!"
"Mixed","9.1","274","9.4","243","7.0","280","10.8","290","6.5","141","13.7","164"
"Mixed White/Asian","5.4","63","10.9","66","5.6","73","18.4","80","?","34","?","!"
"Mixed White/Black African","?","37","?","35","?","32","?","45","?","23","?","!"
"Mixed White/Black Caribbean","11.9","95","9.2","86","8.7","106","6.4","95","7.6","50","18.8","53"
"Mixed other","10.4","79","7.9","56","7.9","69","8.2","70","?","34","?","40"
"White","6.7","18,223","6.4","16,662","6.3","17,459","6.2","17,958","6.2","8,721","6.3","8,439"
"White British","6.9","16,895","6.6","15,473","6.5","16,136","6.4","16,333","6.5","7,936","6.7","7,595"
"White Irish","2.9","160","10.5","127","10.6","130","4.9","135","10.1","61","?","!"
"White Gypsy/Traveller","?","3","?","7","?","8","?","10","?","6","?","!"
"White other","4.6","1,165","3.6","1,055","4.4","1,185","3.8","1,480","3.2","718","3.0","794"
"Other","8.0","157","2.9","151","3.1","155","7.4","220","2.5","108","7.3","102"
"Arab","3.5","66","3.6","59","0.8","57","5.8","91","?","43","?","!"
"Any other","11.1","91","2.4","92","4.5","98","8.6","129","3.6","65","!","!"
