"Time","Ethnicity","%","Sample size"
"2013/14","All","6.5","20,644"
"2013/14","Asian","4.8","1,283"
"2013/14","Bangladeshi","5.9","101"
"2013/14","Chinese","3.4","118"
"2013/14","Indian","3.9","515"
"2013/14","Pakistani","5.5","301"
"2013/14","Asian other","6.1","248"
"2013/14","Black","4.5","697"
"2013/14","Black African","4.0","427"
"2013/14","Black Caribbean","5.6","239"
"2013/14","Black other","?","31"
"2013/14","Mixed","9.1","274"
"2013/14","Mixed White/Asian","5.4","63"
"2013/14","Mixed White/Black African","?","37"
"2013/14","Mixed White/Black Caribbean","11.9","95"
"2013/14","Mixed other","10.4","79"
"2013/14","White","6.7","18,223"
"2013/14","White British","6.9","16,895"
"2013/14","White Irish","2.9","160"
"2013/14","White Gypsy/Traveller","?","3"
"2013/14","White other","4.6","1,165"
"2013/14","Other","8.0","157"
"2013/14","Arab","3.5","66"
"2013/14","Any other","11.1","91"
"2014/15","All","6.1","18,887"
"2014/15","Asian","2.4","1,161"
"2014/15","Bangladeshi","0.5","92"
"2014/15","Chinese","0.9","105"
"2014/15","Indian","3.4","451"
"2014/15","Pakistani","3.0","281"
"2014/15","Asian other","0.9","232"
"2014/15","Black","7.0","653"
"2014/15","Black African","5.2","389"
"2014/15","Black Caribbean","7.2","218"
"2014/15","Black other","?","46"
"2014/15","Mixed","9.4","243"
"2014/15","Mixed White/Asian","10.9","66"
"2014/15","Mixed White/Black African","?","35"
"2014/15","Mixed White/Black Caribbean","9.2","86"
"2014/15","Mixed other","7.9","56"
"2014/15","White","6.4","16,662"
"2014/15","White British","6.6","15,473"
"2014/15","White Irish","10.5","127"
"2014/15","White Gypsy/Traveller","?","7"
"2014/15","White other","3.6","1,055"
"2014/15","Other","2.9","151"
"2014/15","Arab","3.6","59"
"2014/15","Any other","2.4","92"
"2015/16","All","6.1","19,769"
"2015/16","Asian","3.1","1,240"
"2015/16","Bangladeshi","4.2","90"
"2015/16","Chinese","3.1","136"
"2015/16","Indian","3.0","495"
"2015/16","Pakistani","3.5","294"
"2015/16","Asian other","2.3","225"
"2015/16","Black","7.4","616"
"2015/16","Black African","7.0","390"
"2015/16","Black Caribbean","9.2","187"
"2015/16","Black other","?","39"
"2015/16","Mixed","7.0","280"
"2015/16","Mixed White/Asian","5.6","73"
"2015/16","Mixed White/Black African","?","32"
"2015/16","Mixed White/Black Caribbean","8.7","106"
"2015/16","Mixed other","7.9","69"
"2015/16","White","6.3","17,459"
"2015/16","White British","6.5","16,136"
"2015/16","White Irish","10.6","130"
"2015/16","White Gypsy/Traveller","?","8"
"2015/16","White other","4.4","1,185"
"2015/16","Other","3.1","155"
"2015/16","Arab","0.8","57"
"2015/16","Any other","4.5","98"
"2016/17","All","5.9","20,578"
"2016/17","Asian","2.0","1,386"
"2016/17","Bangladeshi","1.3","131"
"2016/17","Chinese","0.6","138"
"2016/17","Indian","3.0","543"
"2016/17","Pakistani","2.3","333"
"2016/17","Asian other","0.3","241"
"2016/17","Black","6.5","710"
"2016/17","Black African","6.0","459"
"2016/17","Black Caribbean","6.8","196"
"2016/17","Black other","9.8","55"
"2016/17","Mixed","10.8","290"
"2016/17","Mixed White/Asian","18.4","80"
"2016/17","Mixed White/Black African","?","45"
"2016/17","Mixed White/Black Caribbean","6.4","95"
"2016/17","Mixed other","8.2","70"
"2016/17","White","6.2","17,958"
"2016/17","White British","6.4","16,333"
"2016/17","White Irish","4.9","135"
"2016/17","White Gypsy/Traveller","?","10"
"2016/17","White other","3.8","1,480"
"2016/17","Other","7.4","220"
"2016/17","Arab","5.8","91"
"2016/17","Any other","8.6","129"
"2017/18","All","6.1","10,046"
"2017/18","Asian","4.9","737"
"2017/18","Bangladeshi","2.8","64"
"2017/18","Chinese","11.4","61"
"2017/18","Indian","4.8","293"
"2017/18","Pakistani","4.5","191"
"2017/18","Asian other","4.1","128"
"2017/18","Black","6.1","334"
"2017/18","Black African","4.7","194"
"2017/18","Black Caribbean","6.9","115"
"2017/18","Black other","?","25"
"2017/18","Mixed","6.5","141"
"2017/18","Mixed White/Asian","?","34"
"2017/18","Mixed White/Black African","?","23"
"2017/18","Mixed White/Black Caribbean","7.6","50"
"2017/18","Mixed other","?","34"
"2017/18","White","6.2","8,721"
"2017/18","White British","6.5","7,936"
"2017/18","White Irish","10.1","61"
"2017/18","White Gypsy/Traveller","?","6"
"2017/18","White other","3.2","718"
"2017/18","Other","2.5","108"
"2017/18","Arab","?","43"
"2017/18","Any other","3.6","65"
"2018/19","All","6.3","9,745"
"2018/19","Asian","4.1","706"
"2018/19","Bangladeshi","1.1","75"
"2018/19","Chinese","2.4","60"
"2018/19","Indian","4.5","272"
"2018/19","Pakistani","4.6","171"
"2018/19","Asian other","5.6","128"
"2018/19","Black","7.4","319"
"2018/19","Black African","5.6","213"
"2018/19","Black Caribbean","!","!"
"2018/19","Black other","?","!"
"2018/19","Mixed","13.7","164"
"2018/19","Mixed White/Asian","?","!"
"2018/19","Mixed White/Black African","?","!"
"2018/19","Mixed White/Black Caribbean","18.8","53"
"2018/19","Mixed other","?","40"
"2018/19","White","6.3","8,439"
"2018/19","White British","6.7","7,595"
"2018/19","White Irish","?","!"
"2018/19","White Gypsy/Traveller","?","!"
"2018/19","White other","3.0","794"
"2018/19","Other","7.3","102"
"2018/19","Arab","?","!"
"2018/19","Any other","!","!"
