"age","Ethnicity","%","Number of reoffenders","Average number of reoffences"
"Juvenile","All","42.6","13,474","3.92"
"Juvenile","Asian","35.9","631","3.22"
"Juvenile","Black","48.6","2,373","3.69"
"Juvenile","White","41.9","10,351","4.02"
"Juvenile","Other inc Mixed","39.5","119","3.75"
"Juvenile","Unknown","11.9","212","3.45"
"Adult","All","29.5","124,886","4.03"
"Adult","Asian","23.2","5,938","3.34"
"Adult","Black","31.5","12,777","3.57"
"Adult","White","29.9","105,154","4.13"
"Adult","Other inc Mixed","20.2","1,017","3.42"
"Adult","Unknown","5.6","1,039","3.00"
