"","Asian","","Black","","White","","Other inc Mixed","","Unknown",""
"Year","%","Number of reoffenders","%","Number of reoffenders","%","Number of reoffenders","%","Number of reoffenders","%","Number of reoffenders"
"2006/07","25.7","9,960","35.2","22,816","32.1","229,168","23.2","1,852","7.6","2,679"
"2007/08","25.2","10,425","35.1","24,076","31.9","233,669","22.3","1,831","8.6","2,385"
"2008/09","25.0","10,539","34.1","23,676","32.4","227,671","21.7","1,968","11.2","2,100"
"2009/10","24.5","9,978","33.9","22,609","31.7","207,837","21.4","1,934","11.0","1,891"
"2010/11","24.9","9,697","34.5","21,974","32.4","199,874","21.2","1,893","10.8","1,795"
"2011/12","24.2","8,785","34.0","20,336","32.3","186,832","21.0","1,699","9.5","1,711"
"2012/13","24.0","7,940","34.0","18,175","31.9","165,241","21.5","1,590","8.9","1,554"
"2013/14","23.9","7,744","34.1","17,660","32.3","158,053","22.0","1,551","8.6","1,574"
"2014/15","23.8","7,143","33.2","16,457","31.2","140,954","20.8","1,349","7.0","1,413"
"2015/16","24.1","6,972","33.5","16,379","30.6","128,487","20.7","1,236","6.4","1,301"
"2016/17","24.0","6,569","33.3","15,150","30.7","115,505","21.3","1,136","6.1","1,251"
