"Ethnicity","Year",""
"Asian","2006/07","2.91"
"Asian","2007/08","2.87"
"Asian","2008/09","2.83"
"Asian","2009/10","2.78"
"Asian","2010/11","2.86"
"Asian","2011/12","2.79"
"Asian","2012/13","2.96"
"Asian","2013/14","3.06"
"Asian","2014/15","3.15"
"Asian","2015/16","3.31"
"Asian","2016/17","3.33"
"Black","2006/07","3.09"
"Black","2007/08","3.08"
"Black","2008/09","2.97"
"Black","2009/10","2.92"
"Black","2010/11","3.02"
"Black","2011/12","2.95"
"Black","2012/13","3.08"
"Black","2013/14","3.19"
"Black","2014/15","3.35"
"Black","2015/16","3.47"
"Black","2016/17","3.59"
"White","2006/07","3.29"
"White","2007/08","3.28"
"White","2008/09","3.26"
"White","2009/10","3.22"
"White","2010/11","3.32"
"White","2011/12","3.37"
"White","2012/13","3.51"
"White","2013/14","3.64"
"White","2014/15","3.75"
"White","2015/16","3.87"
"White","2016/17","4.12"
"Other inc Mixed","2006/07","2.83"
"Other inc Mixed","2007/08","2.82"
"Other inc Mixed","2008/09","2.78"
"Other inc Mixed","2009/10","2.65"
"Other inc Mixed","2010/11","2.99"
"Other inc Mixed","2011/12","2.78"
"Other inc Mixed","2012/13","2.86"
"Other inc Mixed","2013/14","2.87"
"Other inc Mixed","2014/15","3.02"
"Other inc Mixed","2015/16","3.05"
"Other inc Mixed","2016/17","3.46"
"Unknown","2006/07","2.68"
"Unknown","2007/08","2.88"
"Unknown","2008/09","2.86"
"Unknown","2009/10","2.70"
"Unknown","2010/11","2.86"
"Unknown","2011/12","2.81"
"Unknown","2012/13","2.72"
"Unknown","2013/14","2.86"
"Unknown","2014/15","3.00"
"Unknown","2015/16","2.78"
"Unknown","2016/17","3.08"
