"Age group","year","ethnicity ","Number of offenders","Number of reoffenders","Number of reoffences","Proportion of offenders who reoffend (%)","Average number of reoffences per reoffender"
"Adult","2006/07","Asian","31672","7856","23332","24.8","2.97"
"Adult","2006/07","Black","49337","16107","50106","32.6","3.11"
"Adult","2006/07","Unknown ","29171","1983","5377","6.8","2.71"
"Adult","2006/07","Other","6973","1535","4333","22.0","2.82"
"Adult","2006/07","White","536369","160047","532322","29.8","3.33"
"Juvenile","2006/07","Asian","7065","2104","5616","29.8","2.67"
"Juvenile","2006/07","Black","15527","6709","20330","43.2","3.03"
"Juvenile","2006/07","Unknown ","5863","696","1797","11.9","2.58"
"Juvenile","2006/07","Other","1002","317","903","31.6","2.85"
"Juvenile","2006/07","White","177582","69121","220785","38.9","3.19"
"Adult","2007/08","Asian","34473","8359","24663","24.2","2.95"
"Adult","2007/08","Black","53227","17563","54853","33.0","3.12"
"Adult","2007/08","Unknown ","22984","1789","5209","7.8","2.91"
"Adult","2007/08","Other","7194","1543","4311","21.4","2.79"
"Adult","2007/08","White","562076","169886","570777","30.2","3.36"
"Juvenile","2007/08","Asian","6919","2066","5276","29.9","2.55"
"Juvenile","2007/08","Black","15345","6513","19258","42.4","2.96"
"Juvenile","2007/08","Unknown ","4647","596","1651","12.8","2.77"
"Juvenile","2007/08","Other","1012","288","844","28.5","2.93"
"Juvenile","2007/08","White","169684","63783","196709","37.6","3.08"
"Adult","2008/09","Asian","35329","8504","24427","24.1","2.87"
"Adult","2008/09","Black","55433","17739","53200","32.0","3.00"
"Adult","2008/09","Unknown ","15817","1607","4701","10.2","2.93"
"Adult","2008/09","Other","8057","1682","4611","20.9","2.74"
"Adult","2008/09","White","560467","173443","574086","30.9","3.31"
"Juvenile","2008/09","Asian","6875","2035","5398","29.6","2.65"
"Juvenile","2008/09","Black","14071","5937","17013","42.2","2.87"
"Juvenile","2008/09","Unknown ","2987","493","1299","16.5","2.63"
"Juvenile","2008/09","Other","1008","286","858","28.4","3.00"
