"Measure","Age group","Year","Ethnicity","Number of offenders","Number of reoffenders","Number of reoffences","Proportion of offenders who reoffend (%)","Average number of reoffences per reoffender"
"Proportion of offenders who reoffend ","Adult","2006/07","Asian","31672","7856","23332","24.8","2.97"
"Proportion of offenders who reoffend ","Adult","2006/07","Black","49337","16107","50106","32.6","3.11"
"Proportion of offenders who reoffend ","Adult","2006/07","Unknown","29171","1983","5377","6.8","2.71"
"Proportion of offenders who reoffend ","Adult","2006/07","Other inc Mixed","6973","1535","4333","22","2.82"
"Proportion of offenders who reoffend ","Adult","2006/07","White","536369","160047","532322","29.8","3.33"
"Proportion of offenders who reoffend ","Adult ","2006/07","All","653522","187528","615470","28.7","3.28"
"Proportion of offenders who reoffend ","All","2006/07","Asian","38737","9960","28948","25.7","2.91"
"Proportion of offenders who reoffend ","All","2006/07","Black","64864","22816","70436","35.2","3.09"
"Proportion of offenders who reoffend ","All","2006/07","Other inc Mixed","7975","1852","5236","23.2","2.83"
"Proportion of offenders who reoffend ","All","2006/07","White","713951","229168","753107","32.1","3.29"
"Proportion of offenders who reoffend ","All","2006/07","Unknown","35034","2679","7174","7.6","2.68"
"Proportion of offenders who reoffend ","All","2006/07","All","860561","266475","864901","31","3.25"
"Proportion of offenders who reoffend ","Young offender","2006/07","Asian","7065","2104","5616","29.8","2.67"
"Proportion of offenders who reoffend ","Young offender","2006/07","Black","15527","6709","20330","43.2","3.03"
"Proportion of offenders who reoffend ","Young offender","2006/07","Unknown","5863","696","1797","11.9","2.58"
"Proportion of offenders who reoffend ","Young offender","2006/07","Other inc Mixed","1002","317","903","31.6","2.85"
"Proportion of offenders who reoffend ","Young offender","2006/07","White","177582","69121","220785","38.9","3.19"
"Proportion of offenders who reoffend ","Young offender","2006/07","All","207039","78947","249431","38.1","3.16"
"Proportion of offenders who reoffend ","Adult","2007/08","Asian","34473","8359","24663","24.2","2.95"
"Proportion of offenders who reoffend ","Adult","2007/08","Black","53227","17563","54853","33","3.12"
"Proportion of offenders who reoffend ","Adult","2007/08","Unknown","22984","1789","5209","7.8","2.91"
"Proportion of offenders who reoffend ","Adult","2007/08","Other inc Mixed","7194","1543","4311","21.4","2.79"
"Proportion of offenders who reoffend ","Adult","2007/08","White","562076","169886","570777","30.2","3.36"
"Proportion of offenders who reoffend ","Adult ","2007/08","All","679954","199140","659813","29.3","3.31"
"Proportion of offenders who reoffend ","All","2007/08","Asian","41392","10425","29939","25.2","2.87"
"Proportion of offenders who reoffend ","All","2007/08","Black","68572","24076","74111","35.1","3.08"
"Proportion of offenders who reoffend ","All","2007/08","Other inc Mixed","8206","1831","5155","22.3","2.82"
"Proportion of offenders who reoffend ","All","2007/08","White","731760","233669","767486","31.9","3.28"
"Proportion of offenders who reoffend ","All","2007/08","Unknown","27631","2385","6860","8.6","2.88"
"Proportion of offenders who reoffend ","All","2007/08","All","877561","272386","883551","31","3.24"
"Proportion of offenders who reoffend ","Young offender","2007/08","Asian","6919","2066","5276","29.9","2.55"
"Proportion of offenders who reoffend ","Young offender","2007/08","Black","15345","6513","19258","42.4","2.96"
"Proportion of offenders who reoffend ","Young offender","2007/08","Unknown","4647","596","1651","12.8","2.77"
"Proportion of offenders who reoffend ","Young offender","2007/08","Other inc Mixed","1012","288","844","28.5","2.93"
"Proportion of offenders who reoffend ","Young offender","2007/08","White","169684","63783","196709","37.6","3.08"
"Proportion of offenders who reoffend ","Young offender","2007/08","All","197607","73246","223738","37.1","3.05"
"Proportion of offenders who reoffend ","Adult","2008/09","Asian","35329","8504","24427","24.1","2.87"
"Proportion of offenders who reoffend ","Adult","2008/09","Black","55433","17739","53200","32","3"
"Proportion of offenders who reoffend ","Adult","2008/09","Unknown","15817","1607","4701","10.2","2.93"
"Proportion of offenders who reoffend ","Adult","2008/09","Other inc Mixed","8057","1682","4611","20.9","2.74"
"Proportion of offenders who reoffend ","Adult","2008/09","White","560467","173443","574086","30.9","3.31"
"Proportion of offenders who reoffend ","Adult ","2008/09","All","675103","202975","661025","30.1","3.26"
"Proportion of offenders who reoffend ","All","2008/09","Asian","42204","10539","29825","25","2.83"
"Proportion of offenders who reoffend ","All","2008/09","Black","69504","23676","70213","34.1","2.97"
"Proportion of offenders who reoffend ","All","2008/09","Other inc Mixed","9065","1968","5469","21.7","2.78"
"Proportion of offenders who reoffend ","All","2008/09","White","703002","227671","741337","32.4","3.26"
"Proportion of offenders who reoffend ","All","2008/09","Unknown","18804","2100","6000","11.2","2.86"
"Proportion of offenders who reoffend ","All","2008/09","All","842579","265954","852844","31.6","3.21"
"Proportion of offenders who reoffend ","Young offender","2008/09","Asian","6875","2035","5398","29.6","2.65"
"Proportion of offenders who reoffend ","Young offender","2008/09","Black","14071","5937","17013","42.2","2.87"
"Proportion of offenders who reoffend ","Young offender","2008/09","Unknown","2987","493","1299","16.5","2.63"
"Proportion of offenders who reoffend ","Young offender","2008/09","Other inc Mixed","1008","286","858","28.4","3"
"Proportion of offenders who reoffend ","Young offender","2008/09","White","142535","54228","167251","38","3.08"
"Proportion of offenders who reoffend ","Young offender","2008/09","All","167476","62979","191819","37.6","3.05"
"Proportion of offenders who reoffend ","Adult","2009/10","Asian","35146","8210","22916","23.4","2.79"
"Proportion of offenders who reoffend ","Adult","2009/10","Black","54491","17241","50312","31.6","2.92"
"Proportion of offenders who reoffend ","Adult","2009/10","Unknown","14779","1472","4016","10","2.73"
"Proportion of offenders who reoffend ","Adult","2009/10","Other inc Mixed","8106","1636","4407","20.2","2.69"
"Proportion of offenders who reoffend ","Adult","2009/10","White","540058","163413","529385","30.3","3.24"
"Proportion of offenders who reoffend ","Adult ","2009/10","All","652580","191972","611036","29.4","3.18"
"Proportion of offenders who reoffend ","All","2009/10","Asian","40797","9978","27729","24.5","2.78"
"Proportion of offenders who reoffend ","All","2009/10","Black","66781","22609","65999","33.9","2.92"
"Proportion of offenders who reoffend ","All","2009/10","Other inc Mixed","9045","1934","5119","21.4","2.65"
"Proportion of offenders who reoffend ","All","2009/10","White","655423","207837","668952","31.7","3.22"
"Proportion of offenders who reoffend ","All","2009/10","Unknown","17182","1891","5101","11","2.7"
"Proportion of offenders who reoffend ","All","2009/10","All","789228","244249","772900","30.9","3.16"
"Proportion of offenders who reoffend ","Young offender","2009/10","Asian","5651","1768","4813","31.3","2.72"
"Proportion of offenders who reoffend ","Young offender","2009/10","Black","12290","5368","15687","43.7","2.92"
"Proportion of offenders who reoffend ","Young offender","2009/10","Unknown","2403","419","1085","17.4","2.59"
"Proportion of offenders who reoffend ","Young offender","2009/10","Other inc Mixed","939","298","712","31.7","2.39"
"Proportion of offenders who reoffend ","Young offender","2009/10","White","115365","44424","139567","38.5","3.14"
"Proportion of offenders who reoffend ","Young offender","2009/10","All","136648","52277","161864","38.3","3.1"
"Proportion of offenders who reoffend ","Adult","2010/11","Asian","34300","8088","22982","23.6","2.84"
"Proportion of offenders who reoffend ","Adult","2010/11","Black","52758","16708","50090","31.7","3"
"Proportion of offenders who reoffend ","Adult","2010/11","Unknown","14827","1446","4193","9.8","2.9"
"Proportion of offenders who reoffend ","Adult","2010/11","Other inc Mixed","8094","1595","4863","19.7","3.05"
"Proportion of offenders who reoffend ","Adult","2010/11","White","527011","163206","545593","31","3.34"
"Proportion of offenders who reoffend ","Adult ","2010/11","All","636990","191043","627721","30","3.29"
"Proportion of offenders who reoffend ","All","2010/11","Asian","38923","9697","27692","24.9","2.86"
"Proportion of offenders who reoffend ","All","2010/11","Black","63756","21974","66282","34.5","3.02"
"Proportion of offenders who reoffend ","All","2010/11","Other inc Mixed","8922","1893","5660","21.2","2.99"
"Proportion of offenders who reoffend ","All","2010/11","White","616910","199874","663375","32.4","3.32"
"Proportion of offenders who reoffend ","All","2010/11","Unknown","16643","1795","5132","10.8","2.86"
"Proportion of offenders who reoffend ","All","2010/11","All","745154","235233","768141","31.6","3.27"
"Proportion of offenders who reoffend ","Young offender","2010/11","Asian","4623","1609","4710","34.8","2.93"
"Proportion of offenders who reoffend ","Young offender","2010/11","Black","10998","5266","16192","47.9","3.07"
"Proportion of offenders who reoffend ","Young offender","2010/11","Unknown","1816","349","939","19.2","2.69"
"Proportion of offenders who reoffend ","Young offender","2010/11","Other inc Mixed","828","298","797","36","2.67"
"Proportion of offenders who reoffend ","Young offender","2010/11","White","89899","36668","117782","40.8","3.21"
"Proportion of offenders who reoffend ","Young offender","2010/11","All","108164","44190","140420","40.9","3.18"
"Proportion of offenders who reoffend ","Adult","2011/12","Asian","32410","7448","21009","23","2.82"
"Proportion of offenders who reoffend ","Adult","2011/12","Black","50397","16002","47467","31.8","2.97"
"Proportion of offenders who reoffend ","Adult","2011/12","Unknown","16136","1401","3869","8.7","2.76"
"Proportion of offenders who reoffend ","Adult","2011/12","Other inc Mixed","7366","1418","3938","19.3","2.78"
"Proportion of offenders who reoffend ","Adult","2011/12","White","507959","158117","537192","31.1","3.4"
"Proportion of offenders who reoffend ","Adult ","2011/12","All","614268","184386","613475","30","3.33"
"Proportion of offenders who reoffend ","All","2011/12","Asian","36267","8785","24519","24.2","2.79"
"Proportion of offenders who reoffend ","All","2011/12","Black","59742","20336","60021","34","2.95"
"Proportion of offenders who reoffend ","All","2011/12","Other inc Mixed","8103","1699","4731","21","2.78"
"Proportion of offenders who reoffend ","All","2011/12","White","578773","186832","629160","32.3","3.37"
"Proportion of offenders who reoffend ","All","2011/12","Unknown","17919","1711","4815","9.5","2.81"
"Proportion of offenders who reoffend ","All","2011/12","All","700804","219363","723246","31.3","3.3"
"Proportion of offenders who reoffend ","Young offender","2011/12","Asian","3857","1337","3510","34.7","2.63"
"Proportion of offenders who reoffend ","Young offender","2011/12","Black","9345","4334","12554","46.4","2.9"
"Proportion of offenders who reoffend ","Young offender","2011/12","Unknown","1783","310","946","17.4","3.05"
"Proportion of offenders who reoffend ","Young offender","2011/12","Other inc Mixed","737","281","793","38.1","2.82"
"Proportion of offenders who reoffend ","Young offender","2011/12","White","70814","28715","91968","40.5","3.2"
"Proportion of offenders who reoffend ","Young offender","2011/12","All","86536","34977","109771","40.4","3.14"
"Proportion of offenders who reoffend ","Adult","2012/13","Asian","30262","6923","20672","22.9","2.99"
"Proportion of offenders who reoffend ","Adult","2012/13","Black","46379","14784","45787","31.9","3.1"
"Proportion of offenders who reoffend ","Adult","2012/13","Unknown","15956","1313","3464","8.2","2.64"
"Proportion of offenders who reoffend ","Adult","2012/13","Other inc Mixed","6806","1357","3895","19.9","2.87"
"Proportion of offenders who reoffend ","Adult","2012/13","White","465077","143749","509044","30.9","3.54"
"Proportion of offenders who reoffend ","Adult ","2012/13","All","564480","168126","582862","29.8","3.47"
"Proportion of offenders who reoffend ","All","2012/13","Asian","33085","7940","23514","24","2.96"
"Proportion of offenders who reoffend ","All","2012/13","Black","53436","18175","55964","34","3.08"
"Proportion of offenders who reoffend ","All","2012/13","Other inc Mixed","7380","1590","4541","21.5","2.86"
"Proportion of offenders who reoffend ","All","2012/13","White","517438","165241","580262","31.9","3.51"
"Proportion of offenders who reoffend ","All","2012/13","Unknown","17422","1554","4221","8.9","2.72"
"Proportion of offenders who reoffend ","All","2012/13","All","628761","194500","668502","30.9","3.44"
"Proportion of offenders who reoffend ","Young offender","2012/13","Asian","2823","1017","2842","36","2.79"
"Proportion of offenders who reoffend ","Young offender","2012/13","Black","7057","3391","10177","48.1","3"
"Proportion of offenders who reoffend ","Young offender","2012/13","Unknown","1466","241","757","16.4","3.14"
"Proportion of offenders who reoffend ","Young offender","2012/13","Other inc Mixed","574","233","646","40.6","2.77"
"Proportion of offenders who reoffend ","Young offender","2012/13","White","52361","21492","71218","41","3.31"
"Proportion of offenders who reoffend ","Young offender","2012/13","All","64281","26374","85640","41","3.25"
"Proportion of offenders who reoffend ","Adult","2013/14","Asian","30029","6863","20916","22.9","3.05"
"Proportion of offenders who reoffend ","Adult","2013/14","Black","46097","14782","46827","32.1","3.17"
"Proportion of offenders who reoffend ","Adult","2013/14","Unknown","16903","1328","3757","7.9","2.83"
"Proportion of offenders who reoffend ","Adult","2013/14","Other inc Mixed","6574","1362","3853","20.7","2.83"
"Proportion of offenders who reoffend ","Adult","2013/14","White","447355","139785","511999","31.2","3.66"
"Proportion of offenders who reoffend ","Adult ","2013/14","All","546958","164120","587352","30","3.58"
