"Ethnicity","Age group","%","Sample size"
"Asian","16-24","15","582"
"Asian","25-34","19","1,372"
"Asian","35-44","16","1,540"
"Asian","45-54","18","822"
"Asian","55-64","13","546"
"Asian","65-74","14","359"
"Asian","75+","9","174"
"Black","16-24","23","264"
"Black","25-34","20","546"
"Black","35-44","17","723"
"Black","45-54","19","656"
"Black","55-64","13","340"
"Black","65-74","6","168"
"Black","75+","7","133"
"Mixed","16-24","27","215"
"Mixed","25-34","25","274"
"Mixed","35-44","23","225"
"Mixed","45-54","22","152"
"Mixed","55-64","13","90"
"Mixed","65-74","3","55"
"Mixed","75+","?","32"
"White","16-24","22","6,333"
"White","25-34","19","12,695"
"White","35-44","17","14,070"
"White","45-54","16","16,191"
"White","55-64","12","15,594"
"White","65-74","8","16,174"
"White","75+","5","12,795"
"Other","16-24","12","103"
"Other","25-34","14","191"
"Other","35-44","22","226"
"Other","45-54","14","128"
"Other","55-64","14","87"
"Other","65-74","8","62"
"Other","75+","?","28"
