"","2013/14","","2014/15","","2015/16","","2016/17","","2017/18","","2018/19","","2019/20",""
"Ethnicity","%","Sample size","%","Sample size","%","Sample size","%","Sample size","%","Sample size","%","Sample size","%","Sample size"
"All","17","35,371","16","33,350","15","35,324","14","35,420","14","34,715","15","34,163","13","33,735"
"Asian","19","1,824","16","1,649","18","1,790","15","1,956","16","2,013","15","2,078","15","2,065"
"Bangladeshi","17","138","12","123","15","135","19","168","18","182","11","215","14","191"
"Chinese","15","169","11","136","16","173","13","182","15","165","14","185","10","196"
"Indian","20","767","14","679","18","722","15","772","16","795","14","787","15","810"
"Pakistani","20","398","22","388","23","428","16","498","18","495","17","510","18","485"
"Asian other","15","352","14","323","15","332","13","336","14","376","16","381","12","383"
"Black","17","959","18","902","19","902","17","1,026","15","968","16","930","14","957"
"Black African","16","564","19","529","19","530","17","629","15","581","17","585","14","591"
"Black Caribbean","17","350","15","316","16","311","14","318","16","323","16","283","15","298"
"Black other","?","45","28","57","31","61","22","79","12","64","9","62","14","68"
"Mixed","27","339","28","309","21","364","20","370","22","375","19","372","20","416"
"Mixed White/Asian","24","80","28","90","16","94","17","105","29","87","12","90","14","117"
"Mixed White/Black African","?","46","?","45","?","44","13","56","16","63","?","49","18","56"
"Mixed White/Black Caribbean","29","120","29","98","21","135","20","121","16","120","23","123","25","125"
"Mixed other","29","93","23","76","26","91","29","88","26","105","25","110","21","118"
"White","17","31,980","16","30,212","15","31,967","14","31,673","14","31,003","15","30,424","13","29,919"
"White British","17","30,073","16","28,476","15","29,993","14","29,366","14","28,714","15","28,040","13","27,633"
"White Irish","21","322","17","299","17","287","10","296","12","295","13","304","12","258"
"White Gypsy/Traveller","?","12","?","10","?","15","?","21","?","15","?","10","?","11"
"White other","17","1,573","19","1,427","16","1,672","14","1,990","15","1,979","17","2,070","15","2,017"
"Other","14","236","15","234","17","242","15","349","17","300","15","285","16","277"
"Arab","10","88","10","83","10","87","18","141","20","100","21","96","17","110"
"Any other","16","148","17","151","21","155","12","208","15","200","11","189","14","167"
