"Time","Ethnicity","%","Sample size"
"2013/14","All","17","35,371"
"2013/14","Asian","19","1,824"
"2013/14","Bangladeshi","17","138"
"2013/14","Chinese","15","169"
"2013/14","Indian","20","767"
"2013/14","Pakistani","20","398"
"2013/14","Asian other","15","352"
"2013/14","Black","17","959"
"2013/14","Black African","16","564"
"2013/14","Black Caribbean","17","350"
"2013/14","Black other","?","45"
"2013/14","Mixed","27","339"
"2013/14","Mixed White/Asian","24","80"
"2013/14","Mixed White/Black African","?","46"
"2013/14","Mixed White/Black Caribbean","29","120"
"2013/14","Mixed other","29","93"
"2013/14","White","17","31,980"
"2013/14","White British","17","30,073"
"2013/14","White Irish","21","322"
"2013/14","White Gypsy/Traveller","?","12"
"2013/14","White other","17","1,573"
"2013/14","Other","14","236"
"2013/14","Arab","10","88"
"2013/14","Any other","16","148"
"2014/15","All","16","33,350"
"2014/15","Asian","16","1,649"
"2014/15","Bangladeshi","12","123"
"2014/15","Chinese","11","136"
"2014/15","Indian","14","679"
"2014/15","Pakistani","22","388"
"2014/15","Asian other","14","323"
"2014/15","Black","18","902"
"2014/15","Black African","19","529"
"2014/15","Black Caribbean","15","316"
"2014/15","Black other","28","57"
"2014/15","Mixed","28","309"
"2014/15","Mixed White/Asian","28","90"
"2014/15","Mixed White/Black African","?","45"
"2014/15","Mixed White/Black Caribbean","29","98"
"2014/15","Mixed other","23","76"
"2014/15","White","16","30,212"
"2014/15","White British","16","28,476"
"2014/15","White Irish","17","299"
"2014/15","White Gypsy/Traveller","?","10"
"2014/15","White other","19","1,427"
"2014/15","Other","15","234"
"2014/15","Arab","10","83"
"2014/15","Any other","17","151"
"2015/16","All","15","35,324"
"2015/16","Asian","18","1,790"
"2015/16","Bangladeshi","15","135"
"2015/16","Chinese","16","173"
"2015/16","Indian","18","722"
"2015/16","Pakistani","23","428"
"2015/16","Asian other","15","332"
"2015/16","Black","19","902"
"2015/16","Black African","19","530"
"2015/16","Black Caribbean","16","311"
"2015/16","Black other","31","61"
"2015/16","Mixed","21","364"
"2015/16","Mixed White/Asian","16","94"
"2015/16","Mixed White/Black African","?","44"
"2015/16","Mixed White/Black Caribbean","21","135"
"2015/16","Mixed other","26","91"
"2015/16","White","15","31,967"
"2015/16","White British","15","29,993"
"2015/16","White Irish","17","287"
"2015/16","White Gypsy/Traveller","?","15"
"2015/16","White other","16","1,672"
"2015/16","Other","17","242"
"2015/16","Arab","10","87"
"2015/16","Any other","21","155"
"2016/17","All","14","35,420"
"2016/17","Asian","15","1,956"
"2016/17","Bangladeshi","19","168"
"2016/17","Chinese","13","182"
"2016/17","Indian","15","772"
"2016/17","Pakistani","16","498"
"2016/17","Asian other","13","336"
"2016/17","Black","17","1,026"
"2016/17","Black African","17","629"
"2016/17","Black Caribbean","14","318"
"2016/17","Black other","22","79"
"2016/17","Mixed","20","370"
"2016/17","Mixed White/Asian","17","105"
"2016/17","Mixed White/Black African","13","56"
"2016/17","Mixed White/Black Caribbean","20","121"
"2016/17","Mixed other","29","88"
"2016/17","White","14","31,673"
"2016/17","White British","14","29,366"
"2016/17","White Irish","10","296"
"2016/17","White Gypsy/Traveller","?","21"
"2016/17","White other","14","1,990"
"2016/17","Other","15","349"
"2016/17","Arab","18","141"
"2016/17","Any other","12","208"
"2017/18","All","14","34,715"
"2017/18","Asian","16","2,013"
"2017/18","Bangladeshi","18","182"
"2017/18","Chinese","15","165"
"2017/18","Indian","16","795"
"2017/18","Pakistani","18","495"
"2017/18","Asian other","14","376"
"2017/18","Black","15","968"
"2017/18","Black African","15","581"
"2017/18","Black Caribbean","16","323"
"2017/18","Black other","12","64"
"2017/18","Mixed","22","375"
"2017/18","Mixed White/Asian","29","87"
"2017/18","Mixed White/Black African","16","63"
"2017/18","Mixed White/Black Caribbean","16","120"
"2017/18","Mixed other","26","105"
"2017/18","White","14","31,003"
"2017/18","White British","14","28,714"
"2017/18","White Irish","12","295"
"2017/18","White Gypsy/Traveller","?","15"
"2017/18","White other","15","1,979"
"2017/18","Other","17","300"
"2017/18","Arab","20","100"
"2017/18","Any other","15","200"
"2018/19","All","15","34,163"
"2018/19","Asian","15","2,078"
"2018/19","Bangladeshi","11","215"
"2018/19","Chinese","14","185"
"2018/19","Indian","14","787"
"2018/19","Pakistani","17","510"
"2018/19","Asian other","16","381"
"2018/19","Black","16","930"
"2018/19","Black African","17","585"
"2018/19","Black Caribbean","16","283"
"2018/19","Black other","9","62"
"2018/19","Mixed","19","372"
"2018/19","Mixed White/Asian","12","90"
"2018/19","Mixed White/Black African","?","49"
"2018/19","Mixed White/Black Caribbean","23","123"
"2018/19","Mixed other","25","110"
"2018/19","White","15","30,424"
"2018/19","White British","15","28,040"
"2018/19","White Irish","13","304"
"2018/19","White Gypsy/Traveller","?","10"
"2018/19","White other","17","2,070"
"2018/19","Other","15","285"
"2018/19","Arab","21","96"
"2018/19","Any other","11","189"
"2019/20","All","13","33,735"
"2019/20","Asian","15","2,065"
"2019/20","Bangladeshi","14","191"
"2019/20","Chinese","10","196"
"2019/20","Indian","15","810"
"2019/20","Pakistani","18","485"
"2019/20","Asian other","12","383"
"2019/20","Black","14","957"
"2019/20","Black African","14","591"
"2019/20","Black Caribbean","15","298"
"2019/20","Black other","14","68"
"2019/20","Mixed","20","416"
"2019/20","Mixed White/Asian","14","117"
"2019/20","Mixed White/Black African","18","56"
"2019/20","Mixed White/Black Caribbean","25","125"
"2019/20","Mixed other","21","118"
"2019/20","White","13","29,919"
"2019/20","White British","13","27,633"
"2019/20","White Irish","12","258"
"2019/20","White Gypsy/Traveller","?","11"
"2019/20","White other","15","2,017"
"2019/20","Other","16","277"
"2019/20","Arab","17","110"
"2019/20","Any other","14","167"
