"","2013/14","","2014/15","","2015/16","","2016/17","","2017/18",""
"Ethnicity","%","Sample size","%","Sample size","%","Sample size","%","Sample size","%","Sample size"
"All","17","35,371","16","33,350","15","35,324","14","35,420","14","34,715"
"Asian","19","1,824","16","1,649","18","1,790","15","1,956","16","2,013"
"Bangladeshi","17","138","12","123","15","135","19","168","18","182"
"Chinese","15","169","11","136","16","173","13","182","15","165"
"Indian","20","767","14","679","18","722","15","772","16","795"
"Pakistani","20","398","22","388","23","428","16","498","18","495"
"Asian other","15","352","14","323","15","332","13","336","14","376"
"Black","17","959","18","902","19","902","17","1,026","15","968"
"Black African","16","564","19","529","19","530","17","629","15","581"
"Black Caribbean","17","350","15","316","16","311","14","318","16","323"
"Black other","?","45","28","57","31","61","22","79","12","64"
"Mixed","27","339","28","309","21","364","20","370","22","375"
"Mixed White/Asian","24","80","28","90","16","94","17","105","29","87"
"Mixed White/Black African","?","46","?","45","?","44","13","56","16","63"
"Mixed White/Black Caribbean","29","120","29","98","21","135","20","121","16","120"
"Mixed other","29","93","23","76","26","91","29","88","26","105"
"White","17","31,980","16","30,212","15","31,967","14","31,673","14","31,003"
"White British","17","30,073","16","28,476","15","29,993","14","29,366","14","28,714"
"White Irish","21","322","17","299","17","287","10","296","12","295"
"White Gypsy/Traveller","?","12","?","10","?","15","?","21","?","15"
"White other","17","1,573","19","1,427","16","1,672","14","1,990","15","1,979"
"Other","14","236","15","234","17","242","15","349","17","300"
"Arab","10","88","10","83","10","87","18","141","20","100"
"Any other","16","148","17","151","21","155","12","208","15","200"
