"Ethnicity","Socio-economic classification","%","Sample size"
"Asian","All","79","5,323"
"Asian","Full time students","79","430"
"Asian","Intermediate occupations","78","1,069"
"Asian","Managerial and professional occupations","78","1,733"
"Asian","Never worked and long-term unemployed","82","594"
"Asian","Not classified","71","52"
"Asian","Routine and manual occupations","80","1,445"
"Black","All","71","2,775"
"Black","Full time students","65","221"
"Black","Intermediate occupations","70","484"
"Black","Managerial and professional occupations","70","810"
"Black","Never worked and long-term unemployed","76","208"
"Black","Not classified","?","34"
"Black","Routine and manual occupations","75","1,018"
"Mixed","All","70","1,032"
"Mixed","Full time students","78","102"
"Mixed","Intermediate occupations","72","211"
"Mixed","Managerial and professional occupations","67","364"
"Mixed","Never worked and long-term unemployed","69","52"
"Mixed","Not classified","?","6"
"Mixed","Routine and manual occupations","67","297"
"White","All","78","92,637"
"White","Full time students","83","2,361"
"White","Intermediate occupations","78","21,928"
"White","Managerial and professional occupations","80","32,406"
"White","Never worked and long-term unemployed","71","2,810"
"White","Not classified","71","612"
"White","Routine and manual occupations","75","32,520"
"Other","All","78","817"
"Other","Full time students","72","116"
"Other","Intermediate occupations","74","147"
"Other","Managerial and professional occupations","76","220"
"Other","Never worked and long-term unemployed","82","106"
"Other","Not classified","?","7"
"Other","Routine and manual occupations","84","221"
