"Ethnicity","Age","%","Sample size"
"Asian","All","78","4,759"
"Asian","16-24","76","457"
"Asian","25-34","79","1,090"
"Asian","35-44","78","1,436"
"Asian","45-54","76","759"
"Asian","55-64","82","479"
"Asian","65-74","84","336"
"Asian","75+","85","202"
"Black","All","70","1,978"
"Black","16-24","63","179"
"Black","25-34","69","330"
"Black","35-44","73","495"
"Black","45-54","71","456"
"Black","55-64","70","265"
"Black","65-74","73","128"
"Black","75+","76","125"
"Mixed","All","70","782"
"Mixed","16-24","73","155"
"Mixed","25-34","67","190"
"Mixed","35-44","66","173"
"Mixed","45-54","68","119"
"Mixed","55-64","72","87"
"Mixed","65-74","?","39"
"Mixed","75+","?","19"
"White","All","76","68,454"
"White","16-24","79","4,127"
"White","25-34","77","9,518"
"White","35-44","76","10,059"
"White","45-54","74","11,060"
"White","55-64","73","11,299"
"White","65-74","74","11,625"
"White","75+","82","10,766"
"Other","All","78","661"
"Other","16-24","75","71"
"Other","25-34","78","157"
"Other","35-44","80","202"
"Other","45-54","80","114"
"Other","55-64","75","61"
"Other","65-74","?","35"
"Other","75+","?","21"
