"Time","Ethnicity","%","Sample size"
"2013/14","All","76","35,075"
"2013/14","Asian","79","1,805"
"2013/14","Bangladeshi","71","137"
"2013/14","Chinese","77","168"
"2013/14","Indian","83","759"
"2013/14","Pakistani","72","397"
"2013/14","Asian other","82","344"
"2013/14","Black","70","946"
"2013/14","Black African","75","555"
"2013/14","Black Caribbean","62","346"
"2013/14","Black other","?","45"
"2013/14","Mixed","72","336"
"2013/14","Mixed White/Asian","75","80"
"2013/14","Mixed White/Black African","?","46"
"2013/14","Mixed White/Black Caribbean","69","118"
"2013/14","Mixed other","74","92"
"2013/14","White","76","31,725"
"2013/14","White British","75","29,836"
"2013/14","White Irish","81","319"
"2013/14","White Gypsy/Traveller","?","12"
"2013/14","White other","81","1,558"
"2013/14","Other","77","232"
"2013/14","Arab","79","88"
"2013/14","Any other","76","144"
"2014/15","All","76","33,015"
"2014/15","Asian","78","1,626"
"2014/15","Bangladeshi","82","122"
"2014/15","Chinese","77","134"
"2014/15","Indian","81","665"
"2014/15","Pakistani","71","385"
"2014/15","Asian other","81","320"
"2014/15","Black","71","894"
"2014/15","Black African","77","523"
"2014/15","Black Caribbean","60","314"
"2014/15","Black other","65","57"
"2014/15","Mixed","64","304"
"2014/15","Mixed White/Asian","73","87"
"2014/15","Mixed White/Black African","?","44"
"2014/15","Mixed White/Black Caribbean","68","98"
"2014/15","Mixed other","59","75"
"2014/15","White","76","29,917"
"2014/15","White British","75","28,209"
"2014/15","White Irish","80","295"
"2014/15","White Gypsy/Traveller","?","10"
"2014/15","White other","81","1,403"
"2014/15","Other","77","231"
"2014/15","Arab","82","82"
"2014/15","Any other","73","149"
"2015/16","All","78","34,922"
"2015/16","Asian","79","1,770"
"2015/16","Bangladeshi","77","133"
"2015/16","Chinese","80","171"
"2015/16","Indian","81","712"
"2015/16","Pakistani","75","425"
"2015/16","Asian other","84","329"
"2015/16","Black","73","882"
"2015/16","Black African","79","518"
"2015/16","Black Caribbean","62","303"
"2015/16","Black other","62","61"
"2015/16","Mixed","72","359"
"2015/16","Mixed White/Asian","76","93"
"2015/16","Mixed White/Black African","?","44"
"2015/16","Mixed White/Black Caribbean","66","132"
"2015/16","Mixed other","72","90"
"2015/16","White","79","31,627"
"2015/16","White British","78","29,685"
"2015/16","White Irish","80","286"
"2015/16","White Gypsy/Traveller","?","15"
"2015/16","White other","85","1,641"
"2015/16","Other","81","241"
"2015/16","Arab","80","86"
"2015/16","Any other","81","155"
"2016/17","All","78","34,767"
"2016/17","Asian","80","1,927"
"2016/17","Bangladeshi","72","165"
"2016/17","Chinese","79","180"
"2016/17","Indian","81","757"
"2016/17","Pakistani","76","492"
"2016/17","Asian other","85","333"
"2016/17","Black","71","999"
"2016/17","Black African","76","611"
"2016/17","Black Caribbean","60","311"
"2016/17","Black other","69","77"
"2016/17","Mixed","72","369"
"2016/17","Mixed White/Asian","85","105"
"2016/17","Mixed White/Black African","76","56"
"2016/17","Mixed White/Black Caribbean","59","120"
"2016/17","Mixed other","72","88"
"2016/17","White","79","31,093"
"2016/17","White British","78","28,831"
"2016/17","White Irish","76","292"
"2016/17","White Gypsy/Traveller","?","21"
"2016/17","White other","83","1,949"
"2016/17","Other","76","345"
"2016/17","Arab","77","140"
"2016/17","Any other","76","205"
"2017/18","All","78","34,293"
"2017/18","Asian","80","1,980"
"2017/18","Bangladeshi","81","177"
"2017/18","Chinese","78","163"
"2017/18","Indian","82","783"
"2017/18","Pakistani","76","491"
"2017/18","Asian other","85","366"
"2017/18","Black","76","943"
"2017/18","Black African","77","567"
"2017/18","Black Caribbean","71","315"
