"Measure","Ethnicity","Ethnicity_type","Time","Time_type","Geography","Geography_type","Geography code","Gender","Age","Socio-economic classification","Household income","Value","Value_type","Sample size","Standard error","Lower CI","Upper CI"
"Confidence in police - Crime Survey England and Wales","All","All","2019/20","Year ending March","England and Wales","ONS geography code","K04000000","All","16+","All","All","74.2","%","33,363","0.239675279","73.59177689","74.71920941"
"Confidence in police - Crime Survey England and Wales","White","ONS 2011  5 + 1","2019/20","Year ending March","England and Wales","ONS geography code","K04000000","All","16+","All","All","74.4","%","29,613","0.253715693","73.7704978","74.96397642"
"Confidence in police - Crime Survey England and Wales","White British","ONS 2011 18 + 1","2019/20","Year ending March","England and Wales","ONS geography code","K04000000","All","16+","All","All","73.7","%","27,365","0.2660555","73.10088915","74.35241423"
"Confidence in police - Crime Survey England and Wales","White Irish","ONS 2011 18 + 1","2019/20","Year ending March","England and Wales","ONS geography code","K04000000","All","16+","All","All","74.2","%","255","2.739611088","67.76604907","80.65317963"
"Confidence in police - Crime Survey England and Wales","Gypsy or Irish traveller","ONS 2011 18 + 1","2019/20","Year ending March","England and Wales","ONS geography code","K04000000","All","16+","All","All","?","%","11","?","?","?"
"Confidence in police - Crime Survey England and Wales","White Other","ONS 2011 18 + 1","2019/20","Year ending March","England and Wales","ONS geography code","K04000000","All","16+","All","All","81.6","%","1,982","0.870713746","79.53311526","83.62895272"
"Confidence in police - Crime Survey England and Wales","Mixed","ONS 2011  5 + 1","2019/20","Year ending March","England and Wales","ONS geography code","K04000000","All","16+","All","All","70.6","%","409","2.251946018","65.33966061","75.93281469"
"Confidence in police - Crime Survey England and Wales","Mixed White and Black Caribbean","ONS 2011 18 + 1","2019/20","Year ending March","England and Wales","ONS geography code","K04000000","All","16+","All","All","65.8","%","123","4.276141658","55.78225409","75.89722445"
"Confidence in police - Crime Survey England and Wales","Mixed White and Black African","ONS 2011 18 + 1","2019/20","Year ending March","England and Wales","ONS geography code","K04000000","All","16+","All","All","73.9","%","55","5.92305752","59.95319842","87.815261"
"Confidence in police - Crime Survey England and Wales","Mixed White and Asian","ONS 2011 18 + 1","2019/20","Year ending March","England and Wales","ONS geography code","K04000000","All","16+","All","All","76.4","%","116","3.941639394","67.14447852","85.68595024"
"Confidence in police - Crime Survey England and Wales","Mixed Other","ONS 2011 18 + 1","2019/20","Year ending March","England and Wales","ONS geography code","K04000000","All","16+","All","All","67.4","%","115","4.371512245","57.10602307","77.66961667"
"Confidence in police - Crime Survey England and Wales","Asian","ONS 2011  5 + 1","2019/20","Year ending March","England and Wales","ONS geography code","K04000000","All","16+","All","All","76.7","%","2,042","0.935361839","74.51052474","78.91046684"
"Confidence in police - Crime Survey England and Wales","Indian","ONS 2011 18 + 1","2019/20","Year ending March","England and Wales","ONS geography code","K04000000","All","16+","All","All","76.2","%","799","1.506712378","72.65018945","79.73776447"
"Confidence in police - Crime Survey England and Wales","Pakistani","ONS 2011 18 + 1","2019/20","Year ending March","England and Wales","ONS geography code","K04000000","All","16+","All","All","69.0","%","482","2.105796856","64.08997673","73.99564513"
"Confidence in police - Crime Survey England and Wales","Bangladeshi","ONS 2011 18 + 1","2019/20","Year ending March","England and Wales","ONS geography code","K04000000","All","16+","All","All","81.1","%","191","2.83383478","74.4178009","87.7481597"
"Confidence in police - Crime Survey England and Wales","Chinese","ONS 2011 18 + 1","2019/20","Year ending March","England and Wales","ONS geography code","K04000000","All","16+","All","All","80.7","%","195","2.823961791","74.09762159","87.38153785"
"Confidence in police - Crime Survey England and Wales","Asian Other","ONS 2011 18 + 1","2019/20","Year ending March","England and Wales","ONS geography code","K04000000","All","16+","All","All","84.4","%","375","1.874367019","79.97943149","88.79645395"
"Confidence in police - Crime Survey England and Wales","Black","ONS 2011  5 + 1","2019/20","Year ending March","England and Wales","ONS geography code","K04000000","All","16+","All","All","64.5","%","950","1.552908389","60.80618178","68.11106284"
"Confidence in police - Crime Survey England and Wales","Black African","ONS 2011 18 + 1","2019/20","Year ending March","England and Wales","ONS geography code","K04000000","All","16+","All","All","69.1","%","587","1.907994708","64.56651637","73.54172347"
"Confidence in police - Crime Survey England and Wales","Black Caribbean","ONS 2011 18 + 1","2019/20","Year ending March","England and Wales","ONS geography code","K04000000","All","16+","All","All","54.5","%","295","2.899485828","47.64467517","61.28385651"
"Confidence in police - Crime Survey England and Wales","Black Other","ONS 2011 18 + 1","2019/20","Year ending March","England and Wales","ONS geography code","K04000000","All","16+","All","All","61.9","%","68","5.889611943","48.03241453","75.73714911"
"Confidence in police - Crime Survey England and Wales","Other","ONS 2011  5 + 1","2019/20","Year ending March","England and Wales","ONS geography code","K04000000","All","16+","All","All","74.9","%","273","2.625430871","68.68945479","81.03948161"
"Confidence in police - Crime Survey England and Wales","Arab","ONS 2011 18 + 1","2019/20","Year ending March","England and Wales","ONS geography code","K04000000","All","16+","All","All","67.8","%","109","4.476346412","57.24501743","78.30175095"
"Confidence in police - Crime Survey England and Wales","Any Other","ONS 2011 18 + 1","2019/20","Year ending March","England and Wales","ONS geography code","K04000000","All","16+","All","All","80.2","%","164","3.114042383","72.8361663","87.48462168"
"Confidence in police - Crime Survey England and Wales","White","White & Other","2017/18, 2018/19 and 2019/20","3 years combined","England and Wales","ONS geography code","K04000001","All","16+","All","All","76.0","%","68454","0.1631265217","75.66284481","76.43019197"
"Confidence in police - Crime Survey England and Wales","White","White & Other","2017/18, 2018/19 and 2019/20","3 years combined","North East","ONS geography code","E12000001","All","16+","All","All","79.7","%","4560","0.5958647799","78.27932704","81.08227497"
"Confidence in police - Crime Survey England and Wales","White","White & Other","2017/18, 2018/19 and 2019/20","3 years combined","Cleveland","ONS geography code","E23000013","All","16+","All","All","70.5","%","1257","1.28658934","67.45009027","73.50220652"
"Confidence in police - Crime Survey England and Wales","White","White & Other","2017/18, 2018/19 and 2019/20","3 years combined","Durham","ONS geography code","E23000008","All","16+","All","All","79.8","%","1520","1.030138665","77.35962185","82.20539413"
"Confidence in police - Crime Survey England and Wales","White","White & Other","2017/18, 2018/19 and 2019/20","3 years combined","Northumbria","ONS geography code","E23000007","All","16+","All","All","83.2","%","1783","0.8859026734","81.09254741","85.25983359"
"Confidence in police - Crime Survey England and Wales","White","White & Other","2017/18, 2018/19 and 2019/20","3 years combined","North West","ONS geography code","E12000002","All","16+","All","All","75.0","%","9084","0.4543990545","73.91823602","76.05572917"
"Confidence in police - Crime Survey England and Wales","White","White & Other","2017/18, 2018/19 and 2019/20","3 years combined","Cheshire","ONS geography code","E23000006","All","16+","All","All","80.4","%","1504","1.023647439","77.9902013","82.80543885"
"Confidence in police - Crime Survey England and Wales","White","White & Other","2017/18, 2018/19 and 2019/20","3 years combined","Cumbria","ONS geography code","E23000002","All","16+","All","All","79.5","%","1502","1.042415812","77.00805217","81.91157615"
"Confidence in police - Crime Survey England and Wales","White","White & Other","2017/18, 2018/19 and 2019/20","3 years combined","Greater Manchester","ONS geography code","E23000005","All","16+","All","All","71.3","%","2671","0.8751370607","69.25774948","73.37439421"
"Confidence in police - Crime Survey England and Wales","White","White & Other","2017/18, 2018/19 and 2019/20","3 years combined","Lancashire","ONS geography code","E23000003","All","16+","All","All","75.6","%","1651","1.056457666","73.15335265","78.12292951"
"Confidence in police - Crime Survey England and Wales","White","White & Other","2017/18, 2018/19 and 2019/20","3 years combined","Merseyside","ONS geography code","E23000004","All","16+","All","All","74.6","%","1756","1.039214451","72.12360261","77.01206739"
"Confidence in police - Crime Survey England and Wales","White","White & Other","2017/18, 2018/19 and 2019/20","3 years combined","Yorkshire and the Humber","ONS geography code","E12000003","All","16+","All","All","73.6","%","6234","0.5584673569","72.25985945","74.88688989"
"Confidence in police - Crime Survey England and Wales","White","White & Other","2017/18, 2018/19 and 2019/20","3 years combined","Humberside","ONS geography code","E23000012","All","16+","All","All","70.0","%","1325","1.258999586","67.03305856","72.95539261"
"Confidence in police - Crime Survey England and Wales","White","White & Other","2017/18, 2018/19 and 2019/20","3 years combined","North Yorkshire","ONS geography code","E23000009","All","16+","All","All","82.5","%","1438","1.002953011","80.09863606","84.81652702"
"Confidence in police - Crime Survey England and Wales","White","White & Other","2017/18, 2018/19 and 2019/20","3 years combined","South Yorkshire","ONS geography code","E23000011","All","16+","All","All","69.6","%","1292","1.280219155","66.54556734","72.56771825"
"Confidence in police - Crime Survey England and Wales","White","White & Other","2017/18, 2018/19 and 2019/20","3 years combined","West Yorkshire","ONS geography code","E23000010","All","16+","All","All","74.2","%","2179","0.9372910376","71.99708085","76.40609789"
"Confidence in police - Crime Survey England and Wales","White","White & Other","2017/18, 2018/19 and 2019/20","3 years combined","East Midlands","ONS geography code","E12000004","All","16+","All","All","73.5","%","6175","0.5616348436","72.17790541","74.81983572"
"Confidence in police - Crime Survey England and Wales","White","White & Other","2017/18, 2018/19 and 2019/20","3 years combined","Derbyshire","ONS geography code","E23000018","All","16+","All","All","70.9","%","1238","1.291544894","67.81670538","73.89213257"
"Confidence in police - Crime Survey England and Wales","White","White & Other","2017/18, 2018/19 and 2019/20","3 years combined","Leicestershire","ONS geography code","E23000021","All","16+","All","All","73.2","%","1055","1.363037535","70.03086861","76.44259718"
"Confidence in police - Crime Survey England and Wales","White","White & Other","2017/18, 2018/19 and 2019/20","3 years combined","Lincolnshire","ONS geography code","E23000020","All","16+","All","All","75.9","%","1349","1.164766013","73.14171572","78.62077504"
"Confidence in police - Crime Survey England and Wales","White","White & Other","2017/18, 2018/19 and 2019/20","3 years combined","Northamptonshire","ONS geography code","E23000022","All","16+","All","All","75.9","%","1304","1.185015003","73.07486772","78.64917829"
