"","All","Asian","Black","Mixed","White","Other inc Chinese"
"Geography","Rate per 1,000","Rate per 1,000","Rate per 1,000","Rate per 1,000","Rate per 1,000","Rate per 1,000"
"All","12","12","35","19","10","11"
"Avon and Somerset","10","11","43","19","9","8"
"Bedfordshire","12","13","33","22","10","9"
"Cambridgeshire","12","14","53","21","11","10"
"Cheshire","11","12","74","10","11","12"
"Cleveland","19","18","50","20","19","18"
"Cumbria","15","27","104","19","14","29"
"Derbyshire","11","16","43","18","10","10"
"Devon and Cornwall","7","14","63","8","6","9"
"Dorset","10","11","108","15","9","9"
"Durham","14","17","41","10","14","19"
"Dyfed-Powys","8","11","51","10","8","6"
"Essex","9","9","29","22","7","12"
"Gloucestershire","8","11","67","23","7","28"
"Greater Manchester","10","10","24","16","9","8"
"Gwent","9","14","37","12","9","33"
"Hampshire","10","9","59","16","9","11"
"Hertfordshire","11","10","38","19","9","10"
"Humberside","12","14","58","14","12","5"
"Kent","15","14","60","18","13","29"
"Lancashire","N/A","N/A","N/A","N/A","N/A","N/A"
"Leicestershire","11","9","43","15","10","9"
"Lincolnshire","12","18","72","23","12","35"
"London, City of","N/A","N/A","N/A","N/A","N/A","N/A"
"Merseyside","12","13","38","14","12","11"
"Metropolitan Police","15","11","32","20","12","12"
"Norfolk","12","3","26","4","4","6"
"North Wales","18","12","89","10","17","21"
"North Yorkshire","12","9","30","15","11","13"
"Northamptonshire","12","14","42","20","10","21"
"Northumbria","14","11","35","6","14","1"
"Nottinghamshire","12","11","37","16","10","8"
"South Wales","16","13","50","20","16","10"
"South Yorkshire","10","9","21","7","7","6"
"Staffordshire","11","23","58","30","10","23"
"Suffolk","9","5","20","5","4","6"
"Surrey","8","10","51","13","7","9"
"Sussex","10","11","67","14","8","10"
"Thames Valley","14","16","43","31","11","11"
"Warwickshire","9","8","44","19","6","7"
"West Mercia","9","15","53","12","6","11"
"West Midlands","15","12","31","24","13","11"
"West Yorkshire","16","18","35","28","15","11"
"Wiltshire","10","11","55","21","10","16"
