"Gender","Ethnicity","Rate per 1,000","Number of arrests"
"All","All","12","675,461"
"All","Asian","12","45,603"
"All","Black","35","64,670"
"All","Mixed","19","23,137"
"All","White","10","485,885"
"All","Other inc Chinese","11","10,810"
"Female","All","3","98,902"
"Female","Asian","2","3,265"
"Female","Black","7","6,785"
"Female","Mixed","6","3,425"
"Female","White","3","77,077"
"Female","Other inc Chinese","3","1,468"
"Male","All","21","576,559"
"Male","Asian","22","42,338"
"Male","Black","64","57,885"
"Male","Mixed","32","19,712"
"Male","White","17","408,808"
"Male","Other inc Chinese","19","9,342"
