"","All","","Female","","Male",""
"Ethnicity","Rate per 1,000","Number of arrests","Rate per 1,000","Number of arrests","Rate per 1,000","Number of arrests"
"All","12","671,126","3","97,117","21","574,009"
"Asian","12","42,872","2","2,925","21","39,947"
"Bangladeshi","14","6,291","2","347","26","5,944"
"Indian","6","8,527","1","722","11","7,805"
"Pakistani","14","15,367","2","890","26","14,477"
"Asian other","15","12,687","2","966","29","11,721"
"Black","32","60,116","6","6,063","60","54,053"
"Black African","23","22,697","4","2,132","43","20,565"
"Black Caribbean","33","19,611","6","2,051","64","17,560"
"Black other","64","17,808","14","1,880","113","15,928"
"Mixed","18","21,832","5","3,222","31","18,610"
"Mixed White/Asian","7","2,246","2","306","11","1,940"
"Mixed White/Black African","16","2,593","4","352","27","2,241"
"Mixed White/Black Caribbean","26","10,969","8","1,628","45","9,341"
"Mixed other","21","6,024","6","936","36","5,088"
"White","10","452,320","3","71,718","17","380,602"
"White British","9","400,914","3","64,857","16","336,057"
"White Irish","12","6,224","3","939","21","5,285"
"White other","18","45,182","4","5,922","33","39,260"
"Other inc Chinese","12","11,148","3","1,549","19","9,599"
"Chinese","3","1,289","2","349","5","940"
"Any other","18","9,859","5","1,200","28","8,659"
"Unknown","N/A","82,838","N/A","11,640","N/A","71,198"
