"Gender","Ethnicity","Rate per 1,000","Number of arrests"
"All","All","12","671,126"
"All","Asian","12","42,872"
"All","Bangladeshi","14","6,291"
"All","Indian","6","8,527"
"All","Pakistani","14","15,367"
"All","Asian other","15","12,687"
"All","Black","32","60,116"
"All","Black African","23","22,697"
"All","Black Caribbean","33","19,611"
"All","Black other","64","17,808"
"All","Mixed","18","21,832"
"All","Mixed White/Asian","7","2,246"
"All","Mixed White/Black African","16","2,593"
"All","Mixed White/Black Caribbean","26","10,969"
"All","Mixed other","21","6,024"
"All","White","10","452,320"
"All","White British","9","400,914"
"All","White Irish","12","6,224"
"All","White other","18","45,182"
"All","Other inc Chinese","12","11,148"
"All","Chinese","3","1,289"
"All","Any other","18","9,859"
"All","Unknown","N/A","82,838"
"Female","All","3","97,117"
"Female","Asian","2","2,925"
"Female","Bangladeshi","2","347"
"Female","Indian","1","722"
"Female","Pakistani","2","890"
"Female","Asian other","2","966"
"Female","Black","6","6,063"
"Female","Black African","4","2,132"
"Female","Black Caribbean","6","2,051"
"Female","Black other","14","1,880"
"Female","Mixed","5","3,222"
"Female","Mixed White/Asian","2","306"
"Female","Mixed White/Black African","4","352"
"Female","Mixed White/Black Caribbean","8","1,628"
"Female","Mixed other","6","936"
"Female","White","3","71,718"
"Female","White British","3","64,857"
"Female","White Irish","3","939"
"Female","White other","4","5,922"
"Female","Other inc Chinese","3","1,549"
"Female","Chinese","2","349"
"Female","Any other","5","1,200"
"Female","Unknown","N/A","11,640"
"Male","All","21","574,009"
"Male","Asian","21","39,947"
"Male","Bangladeshi","26","5,944"
"Male","Indian","11","7,805"
"Male","Pakistani","26","14,477"
"Male","Asian other","29","11,721"
"Male","Black","60","54,053"
"Male","Black African","43","20,565"
"Male","Black Caribbean","64","17,560"
"Male","Black other","113","15,928"
"Male","Mixed","31","18,610"
"Male","Mixed White/Asian","11","1,940"
"Male","Mixed White/Black African","27","2,241"
"Male","Mixed White/Black Caribbean","45","9,341"
"Male","Mixed other","36","5,088"
"Male","White","17","380,602"
"Male","White British","16","336,057"
"Male","White Irish","21","5,285"
"Male","White other","33","39,260"
"Male","Other inc Chinese","19","9,599"
"Male","Chinese","5","940"
"Male","Any other","28","8,659"
"Male","Unknown","N/A","71,198"
