"Ethnicity","Geography","Rate per 1,000","Number of arrests"
"All","All","12","646,292"
"All","Avon and Somerset","8","13,394"
"All","Bedfordshire","10","5,979"
"All","Cambridgeshire","7","5,985"
"All","Cheshire","9","9,085"
"All","Cleveland","21","11,964"
"All","Cumbria","14","6,830"
"All","Derbyshire","11","11,254"
"All","Devon and Cornwall","8","14,097"
"All","Dorset","7","5,512"
"All","Durham","12","7,167"
"All","Dyfed-Powys","9","4,695"
"All","Essex","10","16,449"
"All","Gloucestershire","8","4,789"
"All","Greater Manchester","8","22,608"
"All","Gwent","14","7,807"
"All","Hampshire","9","16,609"
"All","Hertfordshire","9","10,156"
"All","Humberside","25","22,822"
"All","Kent","13","23,154"
"All","Lancashire","10","13,919"
"All","Leicestershire","9","8,944"
"All","Lincolnshire","9","6,167"
"All","London, City of","N/A","1,571"
"All","Merseyside","12","16,949"
"All","Metropolitan Police","14","113,080"
"All","Norfolk","9","7,852"
"All","North Wales","20","13,787"
"All","North Yorkshire","12","9,216"
"All","Northamptonshire","10","6,987"
"All","Northumbria","15","20,922"
"All","Nottinghamshire","10","10,579"
"All","South Wales","14","18,414"
"All","South Yorkshire","15","19,625"
"All","Staffordshire","5","5,897"
"All","Suffolk","9","6,653"
"All","Surrey","8","9,062"
"All","Sussex","11","18,029"
"All","Thames Valley","15","34,390"
"All","Warwickshire","10","5,193"
"All","West Mercia","9","10,705"
"All","West Midlands","10","28,224"
"All","West Yorkshire","16","34,824"
"All","Wiltshire","7","4,947"
"Asian","All","11","44,352"
"Asian","Avon and Somerset","8","323"
"Asian","Bedfordshire","10","829"
"Asian","Cambridgeshire","5","222"
"Asian","Cheshire","8","122"
"Asian","Cleveland","15","286"
"Asian","Cumbria","19","77"
"Asian","Derbyshire","20","782"
"Asian","Devon and Cornwall","9","158"
"Asian","Dorset","9","133"
"Asian","Durham","13","91"
"Asian","Dyfed-Powys","10","54"
"Asian","Essex","10","467"
"Asian","Gloucestershire","9","113"
"Asian","Greater Manchester","7","2,009"
"Asian","Gwent","17","198"
"Asian","Hampshire","8","524"
"Asian","Hertfordshire","5","392"
"Asian","Humberside","11","183"
"Asian","Kent","6","347"
"Asian","Lancashire","3","312"
"Asian","Leicestershire","7","1,114"
"Asian","Lincolnshire","11","77"
"Asian","London, City of","N/A","224"
"Asian","Merseyside","8","239"
"Asian","Metropolitan Police","11","16,196"
"Asian","Norfolk","6","74"
"Asian","North Wales","11","95"
"Asian","North Yorkshire","9","123"
"Asian","Northamptonshire","8","196"
"Asian","Northumbria","14","656"
"Asian","Nottinghamshire","7","384"
"Asian","South Wales","9","406"
"Asian","South Yorkshire","16","1,009"
"Asian","Staffordshire","8","314"
"Asian","Suffolk","5","68"
"Asian","Surrey","9","541"
"Asian","Sussex","9","423"
"Asian","Thames Valley","17","3,538"
"Asian","Warwickshire","4","95"
"Asian","West Mercia","7","173"
"Asian","West Midlands","10","5,264"
"Asian","West Yorkshire","18","5,359"
"Asian","Wiltshire","8","162"
"Black","All","29","54,193"
"Black","Avon and Somerset","31","955"
"Black","Bedfordshire","16","485"
"Black","Cambridgeshire","18","181"
"Black","Cheshire","59","193"
"Black","Cleveland","57","180"
"Black","Cumbria","102","59"
"Black","Derbyshire","51","518"
"Black","Devon and Cornwall","59","243"
"Black","Dorset","73","233"
"Black","Durham","46","49"
"Black","Dyfed-Powys","62","53"
"Black","Essex","32","1,095"
"Black","Gloucestershire","54","276"
"Black","Greater Manchester","19","1,375"
"Black","Gwent","64","205"
"Black","Hampshire","50","866"
"Black","Hertfordshire","16","502"
"Black","Humberside","41","186"
"Black","Kent","20","450"
"Black","Lancashire","15","78"
"Black","Leicestershire","34","846"
"Black","Lincolnshire","53","137"
"Black","London, City of","N/A","259"
"Black","Merseyside","37","539"
"Black","Metropolitan Police","29","31,197"
"Black","Norfolk","37","169"
"Black","North Wales","51","77"
"Black","North Yorkshire","21","76"
"Black","Northamptonshire","35","588"
"Black","Northumbria","32","287"
"Black","Nottinghamshire","25","686"
"Black","South Wales","50","634"
"Black","South Yorkshire","31","797"
"Black","Staffordshire","22","187"
"Black","Suffolk","25","168"
"Black","Surrey","36","450"
"Black","Sussex","55","788"
"Black","Thames Valley","40","2,766"
"Black","Warwickshire","20","90"
"Black","West Mercia","19","97"
"Black","West Midlands","21","3,460"
"Black","West Yorkshire","33","1,511"
"Black","Wiltshire","33","202"
"Mixed","All","17","20,430"
"Mixed","Avon and Somerset","20","558"
"Mixed","Bedfordshire","13","242"
"Mixed","Cambridgeshire","5","80"
"Mixed","Cheshire","12","124"
"Mixed","Cleveland","33","189"
"Mixed","Cumbria","14","36"
"Mixed","Derbyshire","28","401"
"Mixed","Devon and Cornwall","8","128"
"Mixed","Dorset","16","153"
"Mixed","Durham","11","48"
"Mixed","Dyfed-Powys","11","35"
"Mixed","Essex","19","515"
"Mixed","Gloucestershire","19","167"
"Mixed","Greater Manchester","11","641"
"Mixed","Gwent","24","133"
"Mixed","Hampshire","16","508"
"Mixed","Hertfordshire","11","313"
"Mixed","Humberside","19","158"
"Mixed","Kent","8","209"
"Mixed","Lancashire","6","105"
"Mixed","Leicestershire","11","219"
"Mixed","Lincolnshire","15","95"
"Mixed","London, City of","N/A","115"
"Mixed","Merseyside","14","291"
"Mixed","Metropolitan Police","17","6,797"
"Mixed","Norfolk","7","71"
"Mixed","North Wales","37","184"
"Mixed","North Yorkshire","17","128"
"Mixed","Northamptonshire","19","267"
"Mixed","Northumbria","9","115"
"Mixed","Nottinghamshire","13","413"
"Mixed","South Wales","19","330"
"Mixed","South Yorkshire","21","434"
"Mixed","Staffordshire","11","161"
"Mixed","Suffolk","7","90"
"Mixed","Surrey","15","363"
"Mixed","Sussex","17","512"
"Mixed","Thames Valley","34","1,892"
"Mixed","Warwickshire","5","43"
"Mixed","West Mercia","5","71"
"Mixed","West Midlands","17","1,633"
"Mixed","West Yorkshire","27","1,315"
"Mixed","Wiltshire","15","148"
"White","All","9","422,037"
"White","Avon and Somerset","7","10,334"
"White","Bedfordshire","6","2,733"
"White","Cambridgeshire","3","2,444"
"White","Cheshire","8","8,392"
"White","Cleveland","21","11,188"
"White","Cumbria","13","6,533"
"White","Derbyshire","10","9,160"
"White","Devon and Cornwall","7","11,393"
"White","Dorset","7","4,786"
"White","Durham","11","6,919"
"White","Dyfed-Powys","9","4,454"
