"","All","","Asian","","Black","","Mixed","","White","","Other inc Chinese",""
"Time","Rate per 1,000","Number of arrests","Rate per 1,000","Number of arrests","Rate per 1,000","Number of arrests","Rate per 1,000","Number of arrests","Rate per 1,000","Number of arrests","Rate per 1,000","Number of arrests"
"2006/07","26.1","1,423,562","18.2","67,542","56.4","104,888","33.2","40,092","23.2","1,086,449","20.4","19,348"
"2007/08","26.1","1,427,387","19.5","72,521","58.6","108,937","33.0","39,870","24.0","1,126,577","22.2","21,046"
"2008/09","26.0","1,417,467","20.6","76,298","59.7","111,064","32.6","39,354","24.3","1,137,578","22.1","20,885"
"2009/10","24.6","1,342,487","20.4","75,800","59.5","110,712","32.6","39,371","22.7","1,064,049","21.3","20,184"
"2010/11","24.0","1,310,228","20.9","77,469","60.7","112,816","33.1","39,985","22.1","1,035,418","20.6","19,492"
"2011/12","21.7","1,183,801","19.0","70,398","54.9","102,054","30.5","36,820","19.9","934,775","18.2","17,230"
"2012/13","19.0","1,037,805","17.1","63,337","47.4","88,184","26.7","32,217","17.4","816,749","16.2","15,363"
"2013/14","18.2","994,613","16.8","62,444","46.2","85,929","25.5","30,793","16.5","775,621","15.5","14,691"
"2014/15","16.8","919,121","15.9","59,172","44.7","83,108","24.2","29,208","15.1","709,958","14.6","13,840"
"2015/16","15.7","856,871","15.6","57,847","43.9","81,669","23.4","28,242","13.4","628,605","15.0","14,205"
"2016/17","13.6","742,407","13.6","50,434","38.0","70,730","20.3","24,553","11.4","534,883","12.7","11,973"
"2017/18","12.4","675,461","12.3","45,603","34.8","64,670","19.2","23,137","10.4","485,885","11.4","10,810"
"2018/19","12.2","667,188","11.6","42,875","32.3","60,114","18.1","21,827","9.6","451,903","11.7","11,058"
