"","All","Asian","Black","Mixed","White","Other"
"Police force area","Rate per 1,000","Rate per 1,000","Rate per 1,000","Rate per 1,000","Rate per 1,000","Rate per 1,000"
"All - including BTP","5","8","29","9","4","6"
"Avon & Somerset","4","2","15","5","3","1"
"Bedfordshire","3","3","5","4","2","1"
"British Transport Police","N/A","N/A","N/A","N/A","N/A","N/A"
"Cambridgeshire","2","2","9","3","1","1"
"Cheshire","3","1","9","3","2","2"
"Cleveland","2","3","5","0","2","2"
"Cumbria","4","7","24","4","3","0"
"Derbyshire","2","3","8","4","2","1"
"Devon & Cornwall","3","4","25","2","3","2"
"Dorset","4","3","73","8","4","2"
"Durham","3","3","5","4","3","1"
"Dyfed-Powys","5","5","16","5","4","2"
"Essex","2","3","13","3","2","1"
"Gloucestershire","3","4","29","7","3","2"
"Greater Manchester","1","1","3","2","1","1"
"Gwent","2","5","7","7","2","2"
"Hampshire","5","4","35","7","4","2"
"Hertfordshire","7","7","24","10","5","5"
"Humberside","1","1","5","1","1","1"
"Kent","4","3","25","4","3","62"
"Lancashire","2","3","8","4","2","1"
"Leicestershire","1","1","5","2","1","0"
"Lincolnshire","4","3","14","3","3","5"
"London, City of","N/A","N/A","N/A","N/A","N/A","N/A"
"Merseyside","6","5","14","4","5","2"
"Metropolitan Police","17","13","40","14","10","9"
"Norfolk","4","5","48","10","4","1"
"North Wales","2","2","7","3","2","2"
"North Yorkshire","3","9","11","5","3","2"
"Northamptonshire","2","2","12","4","1","2"
"Northumbria","3","3","9","2","3","1"
"Nottinghamshire","2","2","9","4","1","1"
"South Wales","4","5","16","6","4","1"
"South Yorkshire","2","4","8","4","1","0"
"Staffordshire","4","9","22","8","3","2"
"Suffolk","3","6","30","9","2","2"
"Surrey","4","6","28","8","3","2"
"Sussex","4","8","40","6","3","4"
"Thames Valley","4","5","13","9","3","1"
"Warwickshire","4","5","25","9","3","3"
"West Mercia","4","14","44","10","4","3"
"West Midlands","5","6","14","7","3","0"
"West Yorkshire","5","6","8","7","4","1"
"Wiltshire","2","4","19","4","2","1"
