"Ethnicity","Police force area","Rate per 1,000"
"All","All - including BTP","7"
"All","Avon & Somerset","4"
"All","Bedfordshire","4"
"All","British Transport Police","N/A"
"All","Cambridgeshire","2"
"All","Cheshire","2"
"All","Cleveland","1"
"All","Cumbria","3"
"All","Derbyshire","2"
"All","Devon & Cornwall","3"
"All","Dorset","3"
"All","Durham","3"
"All","Dyfed-Powys","5"
"All","Essex","5"
"All","Gloucestershire","1"
"All","Greater Manchester","2"
"All","Gwent","4"
"All","Hampshire","4"
"All","Hertfordshire","6"
"All","Humberside","2"
"All","Kent","4"
"All","Lancashire","3"
"All","Leicestershire","3"
"All","Lincolnshire","4"
"All","London, City of","N/A"
"All","Merseyside","15"
"All","Metropolitan Police","22"
"All","Norfolk","4"
"All","North Wales","3"
"All","North Yorkshire","2"
"All","Northamptonshire","3"
"All","Northumbria","2"
"All","Nottinghamshire","3"
"All","South Wales","8"
"All","South Yorkshire","4"
"All","Staffordshire","4"
"All","Suffolk","3"
"All","Surrey","5"
"All","Sussex","4"
"All","Thames Valley","4"
"All","Warwickshire","3"
"All","West Mercia","3"
"All","West Midlands","6"
"All","West Yorkshire","4"
"All","Wiltshire","2"
"Asian","All - including BTP","11"
"Asian","Avon & Somerset","4"
"Asian","Bedfordshire","4"
"Asian","British Transport Police","N/A"
"Asian","Cambridgeshire","3"
"Asian","Cheshire","2"
"Asian","Cleveland","3"
"Asian","Cumbria","6"
"Asian","Derbyshire","4"
"Asian","Devon & Cornwall","2"
"Asian","Dorset","4"
"Asian","Durham","3"
"Asian","Dyfed-Powys","9"
"Asian","Essex","7"
"Asian","Gloucestershire","1"
"Asian","Greater Manchester","2"
"Asian","Gwent","14"
"Asian","Hampshire","4"
"Asian","Hertfordshire","6"
"Asian","Humberside","2"
"Asian","Kent","5"
"Asian","Lancashire","4"
"Asian","Leicestershire","2"
"Asian","Lincolnshire","6"
"Asian","London, City of","N/A"
"Asian","Merseyside","10"
"Asian","Metropolitan Police","19"
"Asian","Norfolk","4"
"Asian","North Wales","3"
"Asian","North Yorkshire","7"
"Asian","Northamptonshire","5"
"Asian","Northumbria","4"
"Asian","Nottinghamshire","4"
"Asian","South Wales","11"
"Asian","South Yorkshire","7"
"Asian","Staffordshire","9"
"Asian","Suffolk","4"
"Asian","Surrey","9"
"Asian","Sussex","7"
"Asian","Thames Valley","5"
"Asian","Warwickshire","6"
"Asian","West Mercia","11"
"Asian","West Midlands","10"
"Asian","West Yorkshire","6"
"Asian","Wiltshire","3"
"Black","All - including BTP","38"
"Black","Avon & Somerset","18"
"Black","Bedfordshire","7"
"Black","British Transport Police","N/A"
"Black","Cambridgeshire","10"
"Black","Cheshire","17"
"Black","Cleveland","8"
"Black","Cumbria","24"
"Black","Derbyshire","10"
"Black","Devon & Cornwall","19"
"Black","Dorset","62"
"Black","Durham","8"
"Black","Dyfed-Powys","40"
"Black","Essex","23"
"Black","Gloucestershire","8"
"Black","Greater Manchester","8"
"Black","Gwent","25"
"Black","Hampshire","38"
"Black","Hertfordshire","20"
"Black","Humberside","10"
"Black","Kent","30"
"Black","Lancashire","11"
"Black","Leicestershire","12"
"Black","Lincolnshire","26"
"Black","London, City of","N/A"
"Black","Merseyside","43"
"Black","Metropolitan Police","51"
"Black","Norfolk","30"
"Black","North Wales","9"
"Black","North Yorkshire","11"
"Black","Northamptonshire","20"
"Black","Northumbria","9"
"Black","Nottinghamshire","11"
"Black","South Wales","42"
"Black","South Yorkshire","11"
"Black","Staffordshire","22"
"Black","Suffolk","18"
"Black","Surrey","33"
"Black","Sussex","43"
"Black","Thames Valley","11"
"Black","Warwickshire","26"
"Black","West Mercia","38"
"Black","West Midlands","18"
"Black","West Yorkshire","8"
"Black","Wiltshire","12"
"Mixed","All - including BTP","11"
"Mixed","Avon & Somerset","6"
"Mixed","Bedfordshire","6"
"Mixed","British Transport Police","N/A"
"Mixed","Cambridgeshire","4"
"Mixed","Cheshire","3"
"Mixed","Cleveland","0"
"Mixed","Cumbria","3"
"Mixed","Derbyshire","4"
"Mixed","Devon & Cornwall","2"
"Mixed","Dorset","4"
"Mixed","Durham","6"
"Mixed","Dyfed-Powys","8"
