"","All","Asian","Black","Mixed","White","Other inc Chinese"
"Police force area","Rate per 1,000","Rate per 1,000","Rate per 1,000","Rate per 1,000","Rate per 1,000","Rate per 1,000"
"All - including BTP","7","11","38","11","4","7"
"Avon & Somerset","4","4","18","6","2","2"
"Bedfordshire","4","4","7","6","2","2"
"British Transport Police","N/A","N/A","N/A","N/A","N/A","N/A"
"Cambridgeshire","2","3","10","4","1","2"
"Cheshire","2","2","17","3","2","2"
"Cleveland","1","3","8","0","1","3"
"Cumbria","3","6","24","3","3","2"
"Derbyshire","2","4","10","4","1","0"
"Devon & Cornwall","3","2","19","2","2","1"
"Dorset","3","4","62","4","2","3"
"Durham","3","3","8","6","3","2"
"Dyfed-Powys","5","9","40","8","5","1"
"Essex","5","7","23","7","4","3"
"Gloucestershire","1","1","8","3","1","0"
"Greater Manchester","2","2","8","3","1","1"
"Gwent","4","14","25","12","3","4"
"Hampshire","4","4","38","7","3","2"
"Hertfordshire","6","6","20","13","4","6"
"Humberside","2","2","10","2","1","0"
"Kent","4","5","30","5","3","4"
"Lancashire","3","4","11","3","2","1"
"Leicestershire","3","2","12","4","2","1"
"Lincolnshire","4","6","26","11","3","4"
"London, City of","N/A","N/A","N/A","N/A","N/A","N/A"
"Merseyside","15","10","43","13","13","7"
"Metropolitan Police","22","19","51","17","11","13"
"Norfolk","4","4","30","12","3","3"
"North Wales","3","3","9","3","3","2"
"North Yorkshire","2","7","11","5","2","1"
"Northamptonshire","3","5","20","7","2","3"
"Northumbria","2","4","9","2","2","0"
"Nottinghamshire","3","4","11","5","2","2"
"South Wales","8","11","42","14","7","4"
"South Yorkshire","4","7","11","6","3","1"
"Staffordshire","4","9","22","8","3","3"
"Suffolk","3","4","18","8","2","9"
"Surrey","5","9","33","9","4","3"
"Sussex","4","7","43","6","3","5"
"Thames Valley","4","5","11","7","2","2"
"Warwickshire","3","6","26","10","3","1"
"West Mercia","3","11","38","7","3","2"
"West Midlands","6","10","18","15","4","1"
"West Yorkshire","4","6","8","4","3","2"
"Wiltshire","2","3","12","3","2","2"
