"","All","Asian","Black","Mixed","White","Other"
"Police force area","Rate per 1,000","Rate per 1,000","Rate per 1,000","Rate per 1,000","Rate per 1,000","Rate per 1,000"
"All - including BTP and excluding Greater Manchester","11","15","54","16","6","18"
"Avon & Somerset","5","4","24","8","3","7"
"Bedfordshire","5","6","10","10","3","4"
"British Transport Police","N/A","N/A","N/A","N/A","N/A","N/A"
"Cambridgeshire","3","3","17","4","2","7"
"Cheshire","4","2","23","5","3","7"
"Cleveland","3","4","13","6","3","8"
"Cumbria","4","4","17","2","4","0"
"Derbyshire","2","3","7","4","1","0"
"Devon & Cornwall","3","3","31","4","3","5"
"Dorset","3","2","48","6","2","5"
"Durham","3","4","11","4","3","14"
"Dyfed-Powys","6","6","22","8","6","0"
"Essex","12","14","47","17","9","9"
"Gloucestershire","4","3","21","14","3","5"
"Greater Manchester","N/A","N/A","N/A","N/A","N/A","N/A"
"Gwent","5","17","40","15","4","15"
"Hampshire","5","6","39","9","4","5"
"Hertfordshire","7","6","24","16","5","16"
"Humberside","3","4","15","3","3","3"
"Kent","6","4","36","9","4","43"
"Lancashire","6","9","19","7","4","7"
"Leicestershire","4","3","14","4","3","2"
"Lincolnshire","4","6","34","8","4","10"
"London, City of","N/A","N/A","N/A","N/A","N/A","N/A"
"Merseyside","25","14","65","24","21","19"
"Metropolitan Police","34","26","71","24","18","27"
"Norfolk","6","4","48","10","5","13"
"North Wales","7","5","13","8","7","0"
"North Yorkshire","3","5","14","6","3","5"
"Northamptonshire","3","4","18","6","3","1"
"Northumbria","4","5","14","4","4","1"
"Nottinghamshire","5","6","17","8","3","8"
"South Wales","10","16","55","18","8","11"
"South Yorkshire","11","13","22","12","9","9"
"Staffordshire","5","15","34","13","4","14"
"Suffolk","5","4","26","12","4","33"
"Surrey","5","7","34","8","4","6"
"Sussex","5","5","47","6","4","9"
"Thames Valley","6","8","17","10","3","4"
"Warwickshire","3","4","31","7","2","8"
"West Mercia","4","14","41","8","3","13"
"West Midlands","8","13","22","20","5","1"
"West Yorkshire","6","11","15","9","4","5"
"Wiltshire","2","4","16","4","2","2"
