"Time","Ethnicity","Rate per 1,000"
"2009/10","All","25"
"2009/10","Asian","40"
"2009/10","Bangladeshi","75"
"2009/10","Indian","25"
"2009/10","Pakistani","40"
"2009/10","Asian other","49"
"2009/10","Black","120"
"2009/10","Black African","74"
"2009/10","Black Caribbean","155"
"2009/10","Black other","206"
"2009/10","Mixed","35"
"2009/10","Mixed White/Asian","13"
"2009/10","Mixed White/Black African","28"
"2009/10","Mixed White/Black Caribbean","49"
"2009/10","Mixed other","45"
"2009/10","White","19"
"2009/10","White British","17"
"2009/10","White Irish","20"
"2009/10","White other","42"
"2009/10","Other inc Chinese","22"
"2009/10","Chinese","13"
"2009/10","Any other","28"
"2010/11","All","23"
"2010/11","Asian","38"
"2010/11","Bangladeshi","69"
"2010/11","Indian","21"
"2010/11","Pakistani","38"
"2010/11","Asian other","49"
"2010/11","Black","115"
"2010/11","Black African","72"
"2010/11","Black Caribbean","141"
"2010/11","Black other","211"
"2010/11","Mixed","31"
"2010/11","Mixed White/Asian","10"
"2010/11","Mixed White/Black African","24"
"2010/11","Mixed White/Black Caribbean","45"
"2010/11","Mixed other","40"
"2010/11","White","17"
"2010/11","White British","16"
"2010/11","White Irish","19"
"2010/11","White other","37"
"2010/11","Other inc Chinese","20"
"2010/11","Chinese","8"
"2010/11","Any other","28"
"2011/12","All","21"
"2011/12","Asian","33"
"2011/12","Bangladeshi","59"
"2011/12","Indian","17"
"2011/12","Pakistani","35"
"2011/12","Asian other","45"
"2011/12","Black","98"
"2011/12","Black African","62"
"2011/12","Black Caribbean","113"
"2011/12","Black other","193"
"2011/12","Mixed","29"
"2011/12","Mixed White/Asian","9"
"2011/12","Mixed White/Black African","22"
"2011/12","Mixed White/Black Caribbean","39"
"2011/12","Mixed other","43"
"2011/12","White","16"
"2011/12","White British","15"
"2011/12","White Irish","19"
"2011/12","White other","36"
"2011/12","Other inc Chinese","17"
"2011/12","Chinese","6"
"2011/12","Any other","24"
"2012/13","All","18"
"2012/13","Asian","25"
"2012/13","Bangladeshi","39"
"2012/13","Indian","12"
"2012/13","Pakistani","29"
"2012/13","Asian other","34"
"2012/13","Black","67"
"2012/13","Black African","42"
"2012/13","Black Caribbean","75"
"2012/13","Black other","140"
"2012/13","Mixed","24"
"2012/13","Mixed White/Asian","7"
"2012/13","Mixed White/Black African","17"
"2012/13","Mixed White/Black Caribbean","32"
"2012/13","Mixed other","35"
"2012/13","White","15"
"2012/13","White British","14"
"2012/13","White Irish","16"
"2012/13","White other","32"
"2012/13","Other inc Chinese","13"
"2012/13","Chinese","5"
"2012/13","Any other","19"
"2013/14","All","16"
"2013/14","Asian","20"
"2013/14","Bangladeshi","32"
"2013/14","Indian","9"
"2013/14","Pakistani","23"
"2013/14","Asian other","28"
"2013/14","Black","56"
"2013/14","Black African","35"
"2013/14","Black Caribbean","60"
"2013/14","Black other","121"
"2013/14","Mixed","20"
"2013/14","Mixed White/Asian","7"
"2013/14","Mixed White/Black African","16"
"2013/14","Mixed White/Black Caribbean","27"
"2013/14","Mixed other","28"
"2013/14","White","13"
"2013/14","White British","13"
"2013/14","White Irish","14"
"2013/14","White other","28"
"2013/14","Other inc Chinese","13"
"2013/14","Chinese","6"
"2013/14","Any other","17"
"2014/15","All","10"
"2014/15","Asian","11"
"2014/15","Bangladeshi","17"
"2014/15","Indian","5"
"2014/15","Pakistani","14"
"2014/15","Asian other","16"
"2014/15","Black","35"
"2014/15","Black African","22"
"2014/15","Black Caribbean","36"
"2014/15","Black other","77"
"2014/15","Mixed","13"
"2014/15","Mixed White/Asian","4"
"2014/15","Mixed White/Black African","10"
"2014/15","Mixed White/Black Caribbean","17"
"2014/15","Mixed other","18"
"2014/15","White","8"
"2014/15","White British","7"
"2014/15","White Irish","8"
"2014/15","White other","17"
"2014/15","Other inc Chinese","8"
