"Time","Ethnicity","Rate per 1,000"
"2009/10","All","24.8"
"2009/10","Asian","38.6"
"2009/10","Bangladeshi","70.0"
"2009/10","Indian","23.9"
"2009/10","Pakistani","37.7"
"2009/10","Asian other","48.1"
"2009/10","Black","117.5"
"2009/10","Black African","72.7"
"2009/10","Black Caribbean","153.3"
"2009/10","Black other","199.5"
"2009/10","Mixed","34.8"
"2009/10","Mixed White/Asian","12.4"
"2009/10","Mixed White/Black African","28.0"
"2009/10","Mixed White/Black Caribbean","49.2"
"2009/10","Mixed other","44.0"
"2009/10","White","18.6"
"2009/10","White British","17.3"
"2009/10","White Irish","19.2"
"2009/10","White other","41.2"
"2009/10","Other inc Chinese","21.0"
"2009/10","Chinese","12.8"
"2009/10","Any other","26.8"
"2010/11","All","23.1"
"2010/11","Asian","36.7"
"2010/11","Bangladeshi","64.8"
"2010/11","Indian","20.8"
"2010/11","Pakistani","36.6"
"2010/11","Asian other","48.5"
"2010/11","Black","112.6"
"2010/11","Black African","70.5"
"2010/11","Black Caribbean","139.4"
"2010/11","Black other","204.7"
"2010/11","Mixed","30.7"
"2010/11","Mixed White/Asian","9.4"
"2010/11","Mixed White/Black African","23.8"
"2010/11","Mixed White/Black Caribbean","44.4"
"2010/11","Mixed other","39.5"
"2010/11","White","17.3"
"2010/11","White British","16.2"
"2010/11","White Irish","18.4"
"2010/11","White other","35.8"
"2010/11","Other inc Chinese","19.2"
"2010/11","Chinese","8.1"
"2010/11","Any other","27.0"
"2011/12","All","21.1"
"2011/12","Asian","32.4"
"2011/12","Bangladeshi","55.4"
"2011/12","Indian","16.9"
"2011/12","Pakistani","34.0"
"2011/12","Asian other","44.2"
"2011/12","Black","95.4"
"2011/12","Black African","59.7"
"2011/12","Black Caribbean","111.5"
"2011/12","Black other","187.0"
"2011/12","Mixed","28.7"
"2011/12","Mixed White/Asian","8.7"
"2011/12","Mixed White/Black African","21.4"
"2011/12","Mixed White/Black Caribbean","38.4"
"2011/12","Mixed other","41.9"
"2011/12","White","16.2"
"2011/12","White British","15.1"
"2011/12","White Irish","17.6"
"2011/12","White other","34.9"
"2011/12","Other inc Chinese","16.3"
"2011/12","Chinese","5.5"
"2011/12","Any other","23.8"
"2012/13","All","18.0"
"2012/13","Asian","24.2"
"2012/13","Bangladeshi","36.7"
"2012/13","Indian","11.8"
"2012/13","Pakistani","28.0"
"2012/13","Asian other","33.1"
"2012/13","Black","65.4"
"2012/13","Black African","40.3"
"2012/13","Black Caribbean","74.2"
"2012/13","Black other","135.2"
"2012/13","Mixed","23.4"
"2012/13","Mixed White/Asian","7.1"
"2012/13","Mixed White/Black African","17.1"
"2012/13","Mixed White/Black Caribbean","31.5"
"2012/13","Mixed other","34.3"
"2012/13","White","14.7"
"2012/13","White British","13.8"
"2012/13","White Irish","15.5"
"2012/13","White other","30.9"
"2012/13","Other inc Chinese","12.9"
"2012/13","Chinese","4.9"
"2012/13","Any other","18.5"
"2013/14","All","16.0"
"2013/14","Asian","19.3"
"2013/14","Bangladeshi","30.7"
"2013/14","Indian","8.4"
"2013/14","Pakistani","22.2"
"2013/14","Asian other","27.6"
"2013/14","Black","54.7"
"2013/14","Black African","34.4"
"2013/14","Black Caribbean","59.3"
"2013/14","Black other","116.8"
"2013/14","Mixed","20.0"
"2013/14","Mixed White/Asian","7.2"
"2013/14","Mixed White/Black African","15.5"
"2013/14","Mixed White/Black Caribbean","27.0"
"2013/14","Mixed other","27.6"
"2013/14","White","13.3"
"2013/14","White British","12.5"
"2013/14","White Irish","13.6"
"2013/14","White other","27.5"
"2013/14","Other inc Chinese","12.1"
"2013/14","Chinese","5.6"
"2013/14","Any other","16.7"
"2014/15","All","9.6"
"2014/15","Asian","11.1"
"2014/15","Bangladeshi","15.8"
"2014/15","Indian","5.1"
"2014/15","Pakistani","12.9"
"2014/15","Asian other","16.2"
"2014/15","Black","34.2"
"2014/15","Black African","21.7"
"2014/15","Black Caribbean","35.9"
"2014/15","Black other","74.4"
"2014/15","Mixed","12.5"
"2014/15","Mixed White/Asian","4.2"
"2014/15","Mixed White/Black African","9.6"
"2014/15","Mixed White/Black Caribbean","16.7"
"2014/15","Mixed other","17.8"
"2014/15","White","7.8"
"2014/15","White British","7.3"
"2014/15","White Irish","7.8"
"2014/15","White other","16.5"
"2014/15","Other inc Chinese","7.7"
"2014/15","Chinese","3.5"
"2014/15","Any other","10.6"
"2015/16","All","6.8"
"2015/16","Asian","9.3"
"2015/16","Bangladeshi","16.0"
"2015/16","Indian","4.1"
"2015/16","Pakistani","10.1"
"2015/16","Asian other","13.7"
"2015/16","Black","31.4"
"2015/16","Black African","20.3"
"2015/16","Black Caribbean","31.4"
"2015/16","Black other","70.8"
