"","2009/10","2010/11","2011/12","2012/13","2013/14","2014/15","2015/16","2016/17","2017/18"
"Ethnicity","Rate ","Rate ","Rate ","Rate ","Rate ","Rate ","Rate ","Rate ","Rate "
"All","25","23","21","18","16","10","7","5","5"
"Asian","39","37","32","24","19","11","9","8","8"
"Bangladeshi","70","65","55","37","31","16","16","12","13"
"Indian","24","21","17","12","8","5","4","3","3"
"Pakistani","38","37","34","28","22","13","10","8","7"
"Asian other","48","49","44","33","28","16","14","13","13"
"Black","117","113","95","65","55","34","31","30","29"
"Black African","73","70","60","40","34","22","20","19","19"
"Black Caribbean","153","139","112","74","59","36","31","28","26"
"Black other","199","205","187","135","117","74","71","71","73"
"Mixed","35","31","29","23","20","13","10","9","9"
"Mixed White/Asian","12","9","9","7","7","4","3","3","3"
"Mixed White/Black African","28","24","21","17","15","10","8","7","7"
"Mixed White/Black Caribbean","49","44","38","32","27","17","13","11","10"
"Mixed other","44","39","42","34","28","18","15","13","14"
"White","19","17","16","15","13","8","5","4","3"
"White British","17","16","15","14","12","7","4","3","3"
"White Irish","19","18","18","15","14","8","6","5","4"
"White other","41","36","35","31","27","17","13","10","9"
"Other inc Chinese","21","19","16","13","12","8","6","5","5"
"Chinese","13","8","6","5","6","3","2","1","1"
"Any other","27","27","24","18","17","11","9","7","7"
"Unknown","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
