"","2009/10","2010/11","2011/12","2012/13","2013/14","2014/15","2015/16","2016/17","2017/18","2018/19"
"Ethnicity","Rate per 1,000","Rate per 1,000","Rate per 1,000","Rate per 1,000","Rate per 1,000","Rate per 1,000","Rate per 1,000","Rate per 1,000","Rate per 1,000","Rate per 1,000"
"All","24.8","23.1","21.1","18.0","16.0","9.6","6.8","5.3","5.0","6.7"
"Asian","38.6","36.7","32.4","24.2","19.3","11.1","9.3","7.6","7.5","10.9"
"Bangladeshi","70.0","64.8","55.4","36.7","30.7","15.8","16.0","12.4","13.4","21.5"
"Indian","23.9","20.8","16.9","11.8","8.4","5.1","4.1","3.1","3.0","3.8"
"Pakistani","37.7","36.6","34.0","28.0","22.2","12.9","10.1","7.7","7.1","10.0"
"Asian other","48.1","48.5","44.2","33.1","27.6","16.2","13.7","12.5","12.7","18.4"
"Black","117.5","112.6","95.4","65.4","54.7","34.2","31.4","29.5","29.2","37.9"
"Black African","72.7","70.5","59.7","40.3","34.4","21.7","20.3","18.6","18.6","24.4"
"Black Caribbean","153.3","139.4","111.5","74.2","59.3","35.9","31.4","28.2","26.4","31.2"
"Black other","199.5","204.7","187.0","135.2","116.8","74.4","70.8","70.8","72.6","100.1"
"Mixed","34.8","30.7","28.7","23.4","20.0","12.5","10.2","8.6","8.6","10.7"
"Mixed White/Asian","12.4","9.4","8.7","7.1","7.2","4.2","3.4","2.7","2.6","3.7"
"Mixed White/Black African","28.0","23.8","21.4","17.1","15.5","9.6","8.1","7.0","7.2","9.2"
"Mixed White/Black Caribbean","49.2","44.4","38.4","31.5","27.0","16.7","12.9","10.6","10.1","11.6"
"Mixed other","44.0","39.5","41.9","34.3","27.6","17.8","15.4","13.5","14.0","18.3"
"White","18.6","17.3","16.2","14.7","13.3","7.8","4.8","3.5","3.1","3.9"
"White British","17.3","16.2","15.1","13.8","12.5","7.3","4.3","3.1","2.7","3.5"
"White Irish","19.2","18.4","17.6","15.5","13.6","7.8","6.3","4.8","4.1","5.3"
"White other","41.2","35.8","34.9","30.9","27.5","16.5","13.4","10.3","8.5","11.7"
"Other inc Chinese","21.0","19.2","16.3","12.9","12.1","7.7","5.8","4.6","4.9","6.8"
"Chinese","12.8","8.1","5.5","4.9","5.6","3.5","1.6","1.2","1.2","1.4"
"Any other","26.8","27.0","23.8","18.5","16.7","10.6","8.7","7.0","7.4","10.5"
