"Ethnicity","Rate of stop and search","Number of stop and searches"
"All","12.4","697,405"
"Asian","17.8","75,001"
"Bangladeshi","28.0","12,522"
"Chinese","1.6","648"
"Indian","6.0","8,505"
"Pakistani","19.3","21,706"
"Asian other","37.8","31,620"
"Black","52.6","98,010"
"Black African","32.8","32,498"
"Black Caribbean","35.6","21,201"
"Black other","158.0","44,311"
"Mixed","17.5","21,423"
"Mixed White/Asian","6.7","2,297"
"Mixed White/Black African","13.9","2,306"
"Mixed White/Black Caribbean","15.9","6,777"
"Mixed other","34.6","10,043"
"White","7.5","359,332"
"White British","6.6","299,748"
"White Irish","8.4","4,442"
"White Gypsy/Traveller","10.5","608"
"White other","21.9","54,534"
"Other","20.4","11,486"
"Arab","1.9","432"
"Any other","33.2","11,054"
"Unknown","NA","132,153"
