"","Asian","","Black","","White","","Other inc Mixed","","Unknown",""
"Time","%","Number","%","Number","%","Number","%","Number","%","Number"
"2008/09","4.3","3,775","6.6","5,867","88.0","78,124","1.2","1,040","N/A","4,850"
"2009/10","4.2","2,812","6.7","4,484","87.8","58,689","1.3","839","N/A","3,910"
"2010/11","4.1","1,977","7.1","3,429","87.6","42,484","1.2","593","N/A","2,131"
"2011/12","4.0","1,649","7.2","2,940","88.0","36,061","0.8","315","N/A","1,248"
"2012/13","3.8","1,157","7.2","2,179","88.2","26,626","0.8","233","N/A","1,056"
"2013/14","3.8","998","7.4","1,930","88.0","22,872","0.7","190","N/A","1,025"
"2014/15","4.2","866","8.8","1,809","86.3","17,719","0.7","137","N/A","1,210"
"2015/16","4.2","653","9.5","1,470","85.7","13,304","0.6","92","N/A","1,323"
"2016/17","4.8","585","10.8","1,317","83.6","10,206","0.8","97","N/A","1,374"
"2017/18","4.9","477","11.4","1,108","82.9","8,090","0.9","87","N/A","1,289"
"2018/19","5.2","381","11.0","800","83.1","6,065","0.8","55","N/A","1,251"
