"Measure","Time","Time_type","Ethnicity","Ethnicity_type","Geography","Value","Number"
"Number of Youth Cautions","2005/06","Financial Year","White","White/Black/Asian/Other/Unknown","England and Wales","89.7","104147"
"Number of Youth Cautions","2005/06","Financial Year","Black","White/Black/Asian/Other/Unknown","England and Wales","5.9","6820"
"Number of Youth Cautions","2005/06","Financial Year","Asian","White/Black/Asian/Other/Unknown","England and Wales","3.6","4216"
"Number of Youth Cautions","2005/06","Financial Year","Other","White/Black/Asian/Other/Unknown","England and Wales","0.8","927"
"Number of Youth Cautions","2005/06","Financial Year","Unknown","White/Black/Asian/Other/Unknown","England and Wales","N/A","6172"
"Number of Youth Cautions","2006/07","Financial Year","White","White/Black/Asian/Other/Unknown","England and Wales","89.1","109818"
"Number of Youth Cautions","2006/07","Financial Year","Black","White/Black/Asian/Other/Unknown","England and Wales","6.1","7569"
"Number of Youth Cautions","2006/07","Financial Year","Asian","White/Black/Asian/Other/Unknown","England and Wales","3.7","4578"
"Number of Youth Cautions","2006/07","Financial Year","Other","White/Black/Asian/Other/Unknown","England and Wales","1.0","1284"
"Number of Youth Cautions","2006/07","Financial Year","Unknown","White/Black/Asian/Other/Unknown","England and Wales","N/A","8411"
"Number of Youth Cautions","2007/08","Financial Year","White","White/Black/Asian/Other/Unknown","England and Wales","88.9","100552"
"Number of Youth Cautions","2007/08","Financial Year","Black","White/Black/Asian/Other/Unknown","England and Wales","6.3","7081"
"Number of Youth Cautions","2007/08","Financial Year","Asian","White/Black/Asian/Other/Unknown","England and Wales","3.8","4314"
"Number of Youth Cautions","2007/08","Financial Year","Other","White/Black/Asian/Other/Unknown","England and Wales","1.0","1154"
"Number of Youth Cautions","2007/08","Financial Year","Unknown","White/Black/Asian/Other/Unknown","England and Wales","N/A","7157"
"Number of Youth Cautions","2008/09","Financial Year","White","White/Black/Asian/Other/Unknown","England and Wales","88.0","78124"
"Number of Youth Cautions","2008/09","Financial Year","Black","White/Black/Asian/Other/Unknown","England and Wales","6.6","5867"
"Number of Youth Cautions","2008/09","Financial Year","Asian","White/Black/Asian/Other/Unknown","England and Wales","4.3","3775"
"Number of Youth Cautions","2008/09","Financial Year","Other","White/Black/Asian/Other/Unknown","England and Wales","1.2","1040"
"Number of Youth Cautions","2008/09","Financial Year","Unknown","White/Black/Asian/Other/Unknown","England and Wales","N/A","4850"
"Number of Youth Cautions","2009/10","Financial Year","White","White/Black/Asian/Other/Unknown","England and Wales","87.8","58689"
"Number of Youth Cautions","2009/10","Financial Year","Black","White/Black/Asian/Other/Unknown","England and Wales","6.7","4484"
"Number of Youth Cautions","2009/10","Financial Year","Asian","White/Black/Asian/Other/Unknown","England and Wales","4.2","2812"
"Number of Youth Cautions","2009/10","Financial Year","Other","White/Black/Asian/Other/Unknown","England and Wales","1.3","839"
"Number of Youth Cautions","2009/10","Financial Year","Unknown","White/Black/Asian/Other/Unknown","England and Wales","N/A","3910"
"Number of Youth Cautions","2010/11","Financial Year","White","White/Black/Asian/Other/Unknown","England and Wales","87.6","42484"
"Number of Youth Cautions","2010/11","Financial Year","Black","White/Black/Asian/Other/Unknown","England and Wales","7.1","3429"
"Number of Youth Cautions","2010/11","Financial Year","Asian","White/Black/Asian/Other/Unknown","England and Wales","4.1","1977"
"Number of Youth Cautions","2010/11","Financial Year","Other","White/Black/Asian/Other/Unknown","England and Wales","1.2","593"
"Number of Youth Cautions","2010/11","Financial Year","Unknown","White/Black/Asian/Other/Unknown","England and Wales","N/A","2131"
"Number of Youth Cautions","2011/12","Financial Year","White","White/Black/Asian/Other/Unknown","England and Wales","88.0","36061"
"Number of Youth Cautions","2011/12","Financial Year","Black","White/Black/Asian/Other/Unknown","England and Wales","7.2","2940"
"Number of Youth Cautions","2011/12","Financial Year","Asian","White/Black/Asian/Other/Unknown","England and Wales","4.0","1649"
"Number of Youth Cautions","2011/12","Financial Year","Other","White/Black/Asian/Other/Unknown","England and Wales","0.8","315"
"Number of Youth Cautions","2011/12","Financial Year","Unknown","White/Black/Asian/Other/Unknown","England and Wales","N/A","1248"
"Number of Youth Cautions","2012/13","Financial Year","White","White/Black/Asian/Other/Unknown","England and Wales","88.2","26626"
"Number of Youth Cautions","2012/13","Financial Year","Black","White/Black/Asian/Other/Unknown","England and Wales","7.2","2179"
"Number of Youth Cautions","2012/13","Financial Year","Asian","White/Black/Asian/Other/Unknown","England and Wales","3.8","1157"
"Number of Youth Cautions","2012/13","Financial Year","Other","White/Black/Asian/Other/Unknown","England and Wales","0.8","233"
"Number of Youth Cautions","2012/13","Financial Year","Unknown","White/Black/Asian/Other/Unknown","England and Wales","N/A","1056"
"Number of Youth Cautions","2013/14","Financial Year","White","White/Black/Asian/Other/Unknown","England and Wales","88.0","22872"
"Number of Youth Cautions","2013/14","Financial Year","Black","White/Black/Asian/Other/Unknown","England and Wales","7.4","1930"
"Number of Youth Cautions","2013/14","Financial Year","Asian","White/Black/Asian/Other/Unknown","England and Wales","3.8","998"
"Number of Youth Cautions","2013/14","Financial Year","Other","White/Black/Asian/Other/Unknown","England and Wales","0.7","190"
"Number of Youth Cautions","2013/14","Financial Year","Unknown","White/Black/Asian/Other/Unknown","England and Wales","N/A","1025"
"Number of Youth Cautions","2014/15","Financial Year","White","White/Black/Asian/Other/Unknown","England and Wales","86.3","17719"
"Number of Youth Cautions","2014/15","Financial Year","Black","White/Black/Asian/Other/Unknown","England and Wales","8.8","1809"
"Number of Youth Cautions","2014/15","Financial Year","Asian","White/Black/Asian/Other/Unknown","England and Wales","4.2","866"
"Number of Youth Cautions","2014/15","Financial Year","Other","White/Black/Asian/Other/Unknown","England and Wales","0.7","137"
"Number of Youth Cautions","2014/15","Financial Year","Unknown","White/Black/Asian/Other/Unknown","England and Wales","N/A","1210"
"Number of Youth Cautions","2015/16","Financial Year","White","White/Black/Asian/Other/Unknown","England and Wales","85.7","13304"
"Number of Youth Cautions","2015/16","Financial Year","Black","White/Black/Asian/Other/Unknown","England and Wales","9.5","1470"
"Number of Youth Cautions","2015/16","Financial Year","Asian","White/Black/Asian/Other/Unknown","England and Wales","4.2","653"
"Number of Youth Cautions","2015/16","Financial Year","Other","White/Black/Asian/Other/Unknown","England and Wales","0.6","92"
"Number of Youth Cautions","2015/16","Financial Year","Unknown","White/Black/Asian/Other/Unknown","England and Wales","N/A","1323"
"Number of Youth Cautions","2016/17","Financial Year","White","White/Black/Asian/Other/Unknown","England and Wales","83.6","10206"
"Number of Youth Cautions","2016/17","Financial Year","Black","White/Black/Asian/Other/Unknown","England and Wales","10.8","1317"
"Number of Youth Cautions","2016/17","Financial Year","Asian","White/Black/Asian/Other/Unknown","England and Wales","4.8","585"
"Number of Youth Cautions","2016/17","Financial Year","Other","White/Black/Asian/Other/Unknown","England and Wales","0.8","97"
"Number of Youth Cautions","2016/17","Financial Year","Unknown","White/Black/Asian/Other/Unknown","England and Wales","N/A","1374"
"Number of Youth Cautions","2017/18","Financial Year","White","White/Black/Asian/Other/Unknown","England and Wales","82.9","8090"
"Number of Youth Cautions","2017/18","Financial Year","Black","White/Black/Asian/Other/Unknown","England and Wales","11.4","1108"
"Number of Youth Cautions","2017/18","Financial Year","Asian","White/Black/Asian/Other/Unknown","England and Wales","4.9","477"
"Number of Youth Cautions","2017/18","Financial Year","Other","White/Black/Asian/Other/Unknown","England and Wales","0.9","87"
"Number of Youth Cautions","2017/18","Financial Year","Unknown","White/Black/Asian/Other/Unknown","England and Wales","N/A","1289"
"Number of Youth Cautions","2018/19","Financial Year","White","White/Black/Asian/Other/Unknown","England and Wales","83.1","6065"
"Number of Youth Cautions","2018/19","Financial Year","Black","White/Black/Asian/Other/Unknown","England and Wales","11.0","800"
"Number of Youth Cautions","2018/19","Financial Year","Asian","White/Black/Asian/Other/Unknown","England and Wales","5.2","381"
"Number of Youth Cautions","2018/19","Financial Year","Other","White/Black/Asian/Other/Unknown","England and Wales","0.8","55"
"Number of Youth Cautions","2018/19","Financial Year","Unknown","White/Black/Asian/Other/Unknown","England and Wales","N/A","1251"
