"Measure","Time","Time_type","Ethnicity","Ethnicity_type","Value","Denominator","Numerator"
"Number of restrictive physical interventions per 100 young people in custody (average per month)","2010/11","Financial Year","Ethnic minorities","White/Ethnic minorities","23.8","971.2","231.3"
"Number of restrictive physical interventions per 100 young people in custody (average per month)","2010/11","Financial Year","White","White/Ethnic minorities","19.1","1911.4","364.6"
"Number of restrictive physical interventions per 100 young people in custody (average per month)","2011/12","Financial Year","Ethnic minorities","White/Ethnic minorities","30","1039.8","312.3"
"Number of restrictive physical interventions per 100 young people in custody (average per month)","2011/12","Financial Year","White","White/Ethnic minorities","22.5","1727.7","387.9"
"Number of restrictive physical interventions per 100 young people in custody (average per month)","2012/13","Financial Year","Ethnic minorities","White/Ethnic minorities","24.8","860.8","213.1"
"Number of restrictive physical interventions per 100 young people in custody (average per month)","2012/13","Financial Year","White","White/Ethnic minorities","23.5","1381.3","324.6"
"Number of restrictive physical interventions per 100 young people in custody (average per month)","2013/14","Financial Year","Ethnic minorities","White/Ethnic minorities","28.2","628.3","176.9"
"Number of restrictive physical interventions per 100 young people in custody (average per month)","2013/14","Financial Year","White","White/Ethnic minorities","29.1","1025.9","298.3"
"Number of restrictive physical interventions per 100 young people in custody (average per month)","2014/15","Financial Year","Ethnic minorities","White/Ethnic minorities","32.6","549.8","179.2"
"Number of restrictive physical interventions per 100 young people in custody (average per month)","2014/15","Financial Year","White","White/Ethnic minorities","25.8","866.1","223.7"
"Number of restrictive physical interventions per 100 young people in custody (average per month)","2015/16","Financial Year","Ethnic minorities","White/Ethnic minorities","32","524","168.2"
"Number of restrictive physical interventions per 100 young people in custody (average per month)","2015/16","Financial Year","White","White/Ethnic minorities","25","766.4","192.8"
"Number of restrictive physical interventions per 100 young people in custody (average per month)","2016/17","Financial Year","Ethnic minorities","White/Ethnic minorities","35.8","509","182.3"
"Number of restrictive physical interventions per 100 young people in custody (average per month)","2016/17","Financial Year","White","White/Ethnic minorities","29.8","653.7","194.8"
"Number of restrictive physical interventions per 100 young people in custody (average per month)","2017/18","Financial Year","Ethnic minorities","White/Ethnic minorities","39.4","527.1","207.4"
"Number of restrictive physical interventions per 100 young people in custody (average per month)","2017/18","Financial Year","White","White/Ethnic minorities","37","656.9","243.1"
"Number of restrictive physical interventions per 100 young people in custody (average per month)","2018/19","Financial Year","Ethnic minorities","White/Ethnic minorities","46.3","533.3","247"
"Number of restrictive physical interventions per 100 young people in custody (average per month)","2018/19","Financial Year","White","White/Ethnic minorities","47.2","578","273.1"
