"","Asian","Black","Mixed","White","Other"
"Time","Rate per 1,000 prisoners","Rate per 1,000 prisoners","Rate per 1,000 prisoners","Rate per 1,000 prisoners","Rate per 1,000 prisoners"
"2012","91","65","136","325","157"
"2013","98","72","198","326","213"
"2014","83","72","231","363","185"
"2015","124","81","274","450","225"
"2016","146","94","387","551","347"
"2017","148","100","328","621","357"
"2018","162","118","390","800","371"
"2019","178","186","447","892","465"
"2020","197","150","443","823","344"
