"Ethnicity","Time","Rate per 1,000 prisoners"
"Asian","2012","91"
"Asian","2013","98"
"Asian","2014","83"
"Asian","2015","124"
"Asian","2016","146"
"Asian","2017","148"
"Asian","2018","162"
"Asian","2019","178"
"Asian","2020","197"
"Black","2012","65"
"Black","2013","72"
"Black","2014","72"
"Black","2015","81"
"Black","2016","94"
"Black","2017","100"
"Black","2018","118"
"Black","2019","186"
"Black","2020","150"
"Mixed","2012","136"
"Mixed","2013","198"
"Mixed","2014","231"
"Mixed","2015","274"
"Mixed","2016","387"
"Mixed","2017","328"
"Mixed","2018","390"
"Mixed","2019","447"
"Mixed","2020","443"
"White","2012","325"
"White","2013","326"
"White","2014","363"
"White","2015","450"
"White","2016","551"
"White","2017","621"
"White","2018","800"
"White","2019","892"
"White","2020","823"
"Other","2012","157"
"Other","2013","213"
"Other","2014","185"
"Other","2015","225"
"Other","2016","347"
"Other","2017","357"
"Other","2018","371"
"Other","2019","465"
"Other","2020","344"
