"Title","Use of force on young offenders by ethnicity of offender","","",""
"Location","UK","","",""
"Time period","2017/18","","",""
"Data source","Youth justice statistics","","",""
"Data source link","https://www.gov.uk/government/collections/youth-justice-statistics","","",""
"Source","https://www.ethnicity-facts-figures.service.gov.uk/","","",""
"Last updated","","","",""
"","","","",""
"","White","","Other",""
"Establishment","Number of incidents per 100 young people","Number of incidents","Number of incidents per 100 young people","Number of incidents"
"Cookham Wood YOI","29.3","20","40.2","50"
"Feltham YOI","38.7","26","40.6","47"
"Medway STC","110","22","177.1","39"
"Oakhill STC","97.1","50","130.4","47"
"Parc YOI","64.7","22","67.3","11"
"Rainsbrook STC","115.1","62","142","35"
"Werrington YOI","21.8","14","26","17"
"Wetherby YOI","28.2","56","42.8","40"
