"Ethnicity","Establishment","Average number of incidents per 100 young people","Average number of incidents"
"All","All","59.6","604.1"
"All","Cookham Wood YOI","25.5","47.8"
"All","Feltham YOI","56.0","92.8"
"All","Medway STC","104.3","48.8"
"All","Oakhill STC","154.8","101.8"
"All","Parc YOI","83.6","38.6"
"All","Rainsbrook STC","129.0","97.4"
"All","Werrington YOI","35.5","45.8"
"All","Wetherby YOI","44.1","131.1"
"White","All","60.2","304.0"
"White","Cookham Wood YOI","26.1","18.6"
"White","Feltham YOI","51.6","28.4"
"White","Medway STC","118.1","21.2"
"White","Oakhill STC","146.7","42.2"
"White","Parc YOI","81.3","25.4"
"White","Rainsbrook STC","126.7","66.5"
"White","Werrington YOI","39.7","22.8"
"White","Wetherby YOI","41.3","78.9"
"Other than White","All","59.3","297.8"
"Other than White","Cookham Wood YOI","24.8","28.8"
"Other than White","Feltham YOI","59.2","63.9"
"Other than White","Medway STC","95.7","27.6"
"Other than White","Oakhill STC","161.0","59.6"
"Other than White","Parc YOI","88.3","13.2"
"Other than White","Rainsbrook STC","134.4","30.9"
"Other than White","Werrington YOI","32.1","22.9"
"Other than White","Wetherby YOI","49.3","50.8"
