"","Asian","","Black","","Mixed","","White","","Other","","Unknown",""
"Time","Assaults per 1,000 prisoners ","Number","Assaults per 1,000 prisoners ","Number","Assaults per 1,000 prisoners ","Number","Assaults per 1,000 prisoners ","Number","Assaults per 1,000 prisoners ","Number","Assaults per 1,000 prisoners ","Number"
"2012","71","454","180","2,009","182","579","72","4,458","95","94","N/A","211"
"2013","96","619","188","2,031","217","703","78","4,787","111","111","N/A","145"
"2014","89","592","217","2,325","262","905","95","5,914","120","123","N/A","80"
"2015","118","810","285","3,017","336","1,177","127","8,026","163","160","N/A","60"
"2016","150","1,032","338","3,549","405","1,465","167","10,442","221","225","N/A","69"
"2017","167","1,157","379","4,051","433","1,624","179","11,196","269","293","N/A","75"
"2018","200","1,333","433","4,505","479","1,787","218","13,159","241","290","N/A","194"
"2019","185","1,226","438","4,633","452","1,755","207","12,449","290","374","N/A","452"
"2020","129","816","319","3,284","317","1,237","145","8,380","203","241","N/A","224"
