"Measure","Time","Time_type","Ethnicity","Ethnicity_type","Involvement Type","Rate per 1,000 people","Numerator"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2012","Year","White","ONS 5+1 2001","Assailant","72","4458"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2012","Year","Asian","ONS 5+1 2001","Assailant","71","454"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2012","Year","Black","ONS 5+1 2001","Assailant","180","2009"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2012","Year","Mixed","ONS 5+1 2001","Assailant","182","579"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2012","Year","Other","ONS 5+1 2001","Assailant","95","94"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2012","Year","Not recorded/unknown","ONS 5+1 2001","Assailant","N/A","211"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2012","Year","White","ONS 5+1 2001","Fighter","106","6593"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2012","Year","Asian","ONS 5+1 2001","Fighter","104","680"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2012","Year","Black","ONS 5+1 2001","Fighter","230","2569"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2012","Year","Mixed","ONS 5+1 2001","Fighter","271","862"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2012","Year","Other","ONS 5+1 2001","Fighter","106","129"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2012","Year","Not recorded/unknown","ONS 5+1 2001","Fighter","N/A","350"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2012","Year","White","ONS 5+1 2001","Victim","67","4169"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2012","Year","Asian","ONS 5+1 2001","Victim","72","470"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2012","Year","Black","ONS 5+1 2001","Victim","80","892"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2012","Year","Mixed","ONS 5+1 2001","Victim","109","345"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2012","Year","Other","ONS 5+1 2001","Victim","58","75"
