"Ethnicity","Time","Assaults per 1,000 prisoners","Number"
"Asian","2012","71","454"
"Asian","2013","96","619"
"Asian","2014","89","592"
"Asian","2015","118","810"
"Asian","2016","150","1,032"
"Asian","2017","167","1,158"
"Black","2012","180","2,009"
"Black","2013","188","2,031"
"Black","2014","217","2,325"
"Black","2015","285","3,017"
"Black","2016","339","3,549"
"Black","2017","379","4,050"
"Mixed","2012","182","579"
"Mixed","2013","217","703"
"Mixed","2014","262","905"
"Mixed","2015","336","1,177"
"Mixed","2016","405","1,465"
"Mixed","2017","432","1,622"
"White","2012","72","4,458"
"White","2013","78","4,787"
"White","2014","95","5,914"
"White","2015","127","8,026"
"White","2016","167","10,442"
"White","2017","180","11,207"
"Other","2012","95","94"
"Other","2013","111","111"
"Other","2014","120","123"
"Other","2015","163","160"
"Other","2016","221","225"
"Other","2017","269","293"
"Unknown","2012","N/A","211"
"Unknown","2013","N/A","145"
"Unknown","2014","N/A","80"
"Unknown","2015","N/A","60"
"Unknown","2016","N/A","69"
"Unknown","2017","N/A","75"
