"Ethnicity","category","year","value","value type","","",""
"White","Higher","Jun-19","30","number ","","",""
"White British","Higher","Jun-19","30","number ","","",""
"White other","Higher","Jun-19","0","number ","","",""
"Mixed","Higher","Jun-19","0","number ","","",""
"Mixed White/Black Caribbean","Higher","Jun-19","0","number ","","",""
"Mixed White/Black African","Higher","Jun-19","0","number ","","",""
"Mixed White/Asian","Higher","Jun-19","0","number ","","",""
"Mixed other","Higher","Jun-19","0","number ","","",""
"Asian","Higher","Jun-19","0","number ","","",""
"Indian","Higher","Jun-19","0","number ","","",""
"Pakistani","Higher","Jun-19","0","number ","","",""
"Bangladeshi","Higher","Jun-19","0","number ","","",""
"Asian other","Higher","Jun-19","0","number ","","",""
"Black","Higher","Jun-19","1","number ","","",""
"Black Caribbean","Higher","Jun-19","1","number ","","",""
"Black African","Higher","Jun-19","0","number ","","",""
"Black other ","Higher","Jun-19","0","number ","","",""
"Other inc Chinese","Higher","Jun-19","0","number ","","",""
"Chinese","Higher","Jun-19","0","number ","","",""
"Any other","Higher","Jun-19","0","number ","","",""
"All","Higher","Jun-19","31","number ","","",""
"White","CBE","Jun-19","88","number ","","",""
"White British","CBE","Jun-19","88","number ","","",""
"White other","CBE","Jun-19","0","number ","","",""
"Mixed","CBE","Jun-19","1","number ","","",""
"Mixed White/Black Caribbean","CBE","Jun-19","1","number ","","",""
"Mixed White/Black African","CBE","Jun-19","0","number ","","",""
"Mixed White/Asian","CBE","Jun-19","0","number ","","",""
"Mixed other","CBE","Jun-19","0","number ","","",""
"Asian","CBE","Jun-19","2","number ","","",""
"Indian","CBE","Jun-19","2","number ","","",""
"Pakistani","CBE","Jun-19","0","number ","","",""
"Bangladeshi","CBE","Jun-19","0","number ","","",""
"Asian other","CBE","Jun-19","0","number ","","",""
"Black","CBE","Jun-19","4","number ","","",""
"Black Caribbean","CBE","Jun-19","3","number ","","",""
"Black African","CBE","Jun-19","1","number ","","",""
"Black other ","CBE","Jun-19","0","number ","","",""
"Other inc Chinese","CBE","Jun-19","0","number ","","",""
"Chinese","CBE","Jun-19","0","number ","","",""
"Any other","CBE","Jun-19","0","number ","","",""
"All","CBE","Jun-19","95","number ","","",""
"White","OBE","Jun-19","161","number ","","",""
"White British","OBE","Jun-19","161","number ","","",""
"White other","OBE","Jun-19","0","number ","","",""
"Mixed","OBE","Jun-19","4","number ","","",""
"Mixed White/Black Caribbean","OBE","Jun-19","2","number ","","",""
"Mixed White/Black African","OBE","Jun-19","1","number ","","",""
"Mixed White/Asian","OBE","Jun-19","1","number ","","",""
"Mixed other","OBE","Jun-19","0","number ","","",""
"Asian","OBE","Jun-19","16","number ","","",""
"Indian","OBE","Jun-19","13","number ","","",""
"Pakistani","OBE","Jun-19","2","number ","","",""
"Bangladeshi","OBE","Jun-19","0","number ","","",""
"Asian other","OBE","Jun-19","1","number ","","",""
"Black","OBE","Jun-19","9","number ","","",""
"Black Caribbean","OBE","Jun-19","7","number ","","",""
"Black African","OBE","Jun-19","1","number ","","",""
"Black other ","OBE","Jun-19","1","number ","","",""
"Other inc Chinese","OBE","Jun-19","1","number ","","",""
"Chinese","OBE","Jun-19","1","number ","","",""
"Any other","OBE","Jun-19","0","number ","","",""
"All","OBE","Jun-19","191","number ","","",""
"White","MBE","Jun-19","296","number ","","",""
"White British","MBE","Jun-19","292","number ","","",""
"White other","MBE","Jun-19","4","number ","","",""
"Mixed","MBE","Jun-19","5","number ","","",""
"Mixed White/Black Caribbean","MBE","Jun-19","2","number ","","",""
"Mixed White/Black African","MBE","Jun-19","0","number ","","",""
"Mixed White/Asian","MBE","Jun-19","3","number ","","",""
"Mixed other","MBE","Jun-19","0","number ","","",""
"Asian","MBE","Jun-19","22","number ","","",""
"Indian","MBE","Jun-19","17","number ","","",""
"Pakistani","MBE","Jun-19","3","number ","","",""
"Bangladeshi","MBE","Jun-19","2","number ","","",""
"Asian other","MBE","Jun-19","0","number ","","",""
"Black","MBE","Jun-19","11","number ","","",""
"Black Caribbean","MBE","Jun-19","6","number ","","",""
"Black African","MBE","Jun-19","5","number ","","",""
"Black other ","MBE","Jun-19","0","number ","","",""
"Other inc Chinese","MBE","Jun-19","5","number ","","",""
"Chinese","MBE","Jun-19","2","number ","","",""
"Any other","MBE","Jun-19","3","number ","","",""
"All","MBE","Jun-19","339","number ","","",""
"White","BEM","Jun-19","266","number ","","",""
"White British","BEM","Jun-19","264","number ","","",""
"White other","BEM","Jun-19","2","number ","","",""
"Mixed","BEM","Jun-19","1","number ","","",""
"Mixed White/Black Caribbean","BEM","Jun-19","0","number ","","",""
"Mixed White/Black African","BEM","Jun-19","0","number ","","",""
"Mixed White/Asian","BEM","Jun-19","1","number ","","",""
"Mixed other","BEM","Jun-19","0","number ","","",""
"Asian","BEM","Jun-19","11","number ","","",""
"Indian","BEM","Jun-19","4","number ","","",""
"Pakistani","BEM","Jun-19","3","number ","","",""
"Bangladeshi","BEM","Jun-19","1","number ","","",""
"Asian other","BEM","Jun-19","3","number ","","",""
"Black","BEM","Jun-19","6","number ","","",""
"Black Caribbean","BEM","Jun-19","4","number ","","",""
"Black African","BEM","Jun-19","2","number ","","",""
"Black other ","BEM","Jun-19","0","number ","","",""
"Other inc Chinese","BEM","Jun-19","0","number ","","",""
"Chinese","BEM","Jun-19","0","number ","","",""
"Any other","BEM","Jun-19","0","number ","","",""
"All","BEM","Jun-19","284","number ","","",""
"White","All","Jun-19","841","number ","","",""
"White British","All","Jun-19","835","number ","","",""
"White other","All","Jun-19","6","number ","","",""
"Mixed","All","Jun-19","11","number ","","",""
"Mixed White/Black Caribbean","All","Jun-19","5","number ","","",""
"Mixed White/Black African","All","Jun-19","1","number ","","",""
"Mixed White/Asian","All","Jun-19","5","number ","","",""
"Mixed other","All","Jun-19","0","number ","","",""
"Asian","All","Jun-19","51","number ","","",""
"Indian","All","Jun-19","36","number ","","",""
"Pakistani","All","Jun-19","8","number ","","",""
"Bangladeshi","All","Jun-19","3","number ","","",""
"Asian other","All","Jun-19","4","number ","","",""
"Black","All","Jun-19","30","number ","","",""
"Black Caribbean","All","Jun-19","20","number ","","",""
"Black African","All","Jun-19","9","number ","","",""
"Black other ","All","Jun-19","1","number ","","",""
"Other inc Chinese","All","Jun-19","6","number ","","",""
"Chinese","All","Jun-19","3","number ","","",""
"Any other","All","Jun-19","3","number ","","",""
"All","All","Jun-19","939","number ","","",""
"White","Higher","Jun-19","96.77419355","%","","",""
"White British","Higher","Jun-19","96.77419355","%","","",""
"White other","Higher","Jun-19","0","%","","",""
"Mixed","Higher","Jun-19","0","%","","",""
"Mixed White/Black Caribbean","Higher","Jun-19","0","%","","",""
"Mixed White/Black African","Higher","Jun-19","0","%","","",""
"Mixed White/Asian","Higher","Jun-19","0","%","","",""
"Mixed other","Higher","Jun-19","0","%","","",""
"Asian","Higher","Jun-19","0","%","","",""
"Indian","Higher","Jun-19","0","%","","",""
"Pakistani","Higher","Jun-19","0","%","","",""
"Bangladeshi","Higher","Jun-19","0","%","","",""
"Asian other","Higher","Jun-19","0","%","","",""
"Black","Higher","Jun-19","3.225806452","%","","",""
"Black Caribbean","Higher","Jun-19","3.225806452","%","","",""
"Black African","Higher","Jun-19","0","%","","",""
"Black other ","Higher","Jun-19","0","%","","",""
"Other inc Chinese","Higher","Jun-19","0","%","","",""
"Chinese","Higher","Jun-19","0","%","","",""
"Any other","Higher","Jun-19","0","%","","",""
"All","Higher","Jun-19","100","%","","",""
"White","CBE","Jun-19","92.63158","%","","",""
"White British","CBE","Jun-19","92.63158","%","","",""
"White other","CBE","Jun-19","0","%","","",""
"Mixed","CBE","Jun-19","1.05263","%","","",""
"Mixed White/Black Caribbean","CBE","Jun-19","1.05263","%","","",""
"Mixed White/Black African","CBE","Jun-19","0","%","","",""
"Mixed White/Asian","CBE","Jun-19","0","%","","",""
"Mixed other","CBE","Jun-19","0","%","","",""
"Asian","CBE","Jun-19","2.10526","%","","",""
"Indian","CBE","Jun-19","2.10526","%","","",""
"Pakistani","CBE","Jun-19","0","%","","",""
"Bangladeshi","CBE","Jun-19","0","%","","",""
"Asian other","CBE","Jun-19","0","%","","",""
"Black","CBE","Jun-19","4.21053","%","","",""
"Black Caribbean","CBE","Jun-19","3.15789","%","","",""
"Black African","CBE","Jun-19","1.05263","%","","",""
"Black other ","CBE","Jun-19","0","%","","",""
"Other inc Chinese","CBE","Jun-19","0","%","","",""
"Chinese","CBE","Jun-19","0","%","","",""
"Any other","CBE","Jun-19","0","%","","",""
"All","CBE","Jun-19","100","%","","",""
"White","OBE","Jun-19","84.29319","%","","",""
"White British","OBE","Jun-19","84.29319","%","","",""
"White other","OBE","Jun-19","0","%","","",""
"Mixed","OBE","Jun-19","2.09424","%","","",""
"Mixed White/Black Caribbean","OBE","Jun-19","1.04712","%","","",""
"Mixed White/Black African","OBE","Jun-19","0.52356","%","","",""
"Mixed White/Asian","OBE","Jun-19","0.52356","%","","",""
"Mixed other","OBE","Jun-19","0","%","","",""
"Asian","OBE","Jun-19","8.37696","%","","",""
"Indian","OBE","Jun-19","6.80628","%","","",""
"Pakistani","OBE","Jun-19","1.04712","%","","",""
"Bangladeshi","OBE","Jun-19","0","%","","",""
"Asian other","OBE","Jun-19","0.52356","%","","",""
"Black","OBE","Jun-19","4.71204","%","","",""
"Black Caribbean","OBE","Jun-19","3.66492","%","","",""
"Black African","OBE","Jun-19","0.52356","%","","",""
"Black other ","OBE","Jun-19","0.52356","%","","",""
"Other inc Chinese","OBE","Jun-19","0.52356","%","","",""
"Chinese","OBE","Jun-19","0.52356","%","","",""
"Any other","OBE","Jun-19","0","%","","",""
"All","OBE","Jun-19","100","%","","",""
"White","MBE","Jun-19","87.31563","%","","",""
"White British","MBE","Jun-19","86.13569","%","","",""
"White other","MBE","Jun-19","1.17994","%","","",""
"Mixed","MBE","Jun-19","1.47493","%","","",""
"Mixed White/Black Caribbean","MBE","Jun-19","0.58997","%","","",""
"Mixed White/Black African","MBE","Jun-19","0","%","","",""
"Mixed White/Asian","MBE","Jun-19","0.88496","%","","",""
"Mixed other","MBE","Jun-19","0","%","","",""
"Asian","MBE","Jun-19","6.48968","%","","",""
"Indian","MBE","Jun-19","5.01475","%","","",""
"Pakistani","MBE","Jun-19","0.88496","%","","",""
"Bangladeshi","MBE","Jun-19","0.58997","%","","",""
"Asian other","MBE","Jun-19","0","%","","",""
"Black","MBE","Jun-19","3.24484","%","","",""
"Black Caribbean","MBE","Jun-19","1.76991","%","","",""
"Black African","MBE","Jun-19","1.47493","%","","",""
"Black other ","MBE","Jun-19","0","%","","",""
"Other inc Chinese","MBE","Jun-19","1.47493","%","","",""
"Chinese","MBE","Jun-19","0.58997","%","","",""
"Any other","MBE","Jun-19","0.88496","%","","",""
"All","MBE","Jun-19","100","%","","",""
"White","BEM","Jun-19","93.66197","%","","",""
"White British","BEM","Jun-19","92.95775","%","","",""
"White other","BEM","Jun-19","0.70423","%","","",""
"Mixed","BEM","Jun-19","0.35211","%","","",""
"Mixed White/Black Caribbean","BEM","Jun-19","0","%","","",""
"Mixed White/Black African","BEM","Jun-19","0","%","","",""
"Mixed White/Asian","BEM","Jun-19","0.35211","%","","",""
"Mixed other","BEM","Jun-19","0","%","","",""
"Asian","BEM","Jun-19","3.87324","%","","",""
"Indian","BEM","Jun-19","1.40845","%","","",""
"Pakistani","BEM","Jun-19","1.05634","%","","",""
"Bangladeshi","BEM","Jun-19","0.35211","%","","",""
"Asian other","BEM","Jun-19","1.05634","%","","",""
"Black","BEM","Jun-19","2.11268","%","","",""
"Black Caribbean","BEM","Jun-19","1.40845","%","","",""
"Black African","BEM","Jun-19","0.70423","%","","",""
"Black other ","BEM","Jun-19","0","%","","",""
"Other inc Chinese","BEM","Jun-19","0","%","","",""
"Chinese","BEM","Jun-19","0","%","","",""
"Any other","BEM","Jun-19","0","%","","",""
"All","BEM","Jun-19","100","%","","",""
"White","All","Jun-19","89.56337","%","","",""
"White British","All","Jun-19","88.92439","%","","",""
"White other","All","Jun-19","0.63898","%","","",""
"Mixed","All","Jun-19","1.17146","%","","",""
"Mixed White/Black Caribbean","All","Jun-19","0.53248","%","","",""
"Mixed White/Black African","All","Jun-19","0.1065","%","","",""
"Mixed White/Asian","All","Jun-19","0.53248","%","","",""
"Mixed other","All","Jun-19","0","%","","",""
"Asian","All","Jun-19","5.43131","%","","",""
"Indian","All","Jun-19","3.83387","%","","",""
"Pakistani","All","Jun-19","0.85197","%","","",""
"Bangladeshi","All","Jun-19","0.31949","%","","",""
"Asian other","All","Jun-19","0.42599","%","","",""
"Black","All","Jun-19","3.19489","%","","",""
"Black Caribbean","All","Jun-19","2.12993","%","","",""
"Black African","All","Jun-19","0.95847","%","","",""
"Black other ","All","Jun-19","0.1065","%","","",""
"Other inc Chinese","All","Jun-19","0.63898","%","","",""
"Chinese","All","Jun-19","0.31949","%","","",""
"Any other","All","Jun-19","0.31949","%","","",""
"All","All","Jun-19","100","%","","",""
"Unknown ","Higher","Jun-19","16","number ","","",""
"Unknown ","CBE","Jun-19","12","number ","","",""
"Unknown ","OBE","Jun-19","24","number ","","",""
"Unknown ","MBE","Jun-19","60","number ","","",""
"Unknown ","BEM","Jun-19","22","number ","","",""
"Unknown ","All","Jun-19","134","number ","","",""
"White","Higher","Dec-18","23","number ","","",""
"White British","Higher","Dec-18","23","number ","","",""
"White other","Higher","Dec-18","0","number ","","",""
"Mixed","Higher","Dec-18","0","number ","","",""
"Mixed White/Black Caribbean","Higher","Dec-18","0","number ","","",""
"Mixed White/Black African","Higher","Dec-18","0","number ","","",""
"Mixed White/Asian","Higher","Dec-18","0","number ","","",""
"Mixed other","Higher","Dec-18","0","number ","","",""
"Asian","Higher","Dec-18","0","number ","","",""
"Indian","Higher","Dec-18","0","number ","","",""
"Pakistani","Higher","Dec-18","0","number ","","",""
"Bangladeshi","Higher","Dec-18","0","number ","","",""
"Asian other","Higher","Dec-18","0","number ","","",""
"Black","Higher","Dec-18","0","number ","","",""
"Black Caribbean","Higher","Dec-18","0","number ","","",""
"Black African","Higher","Dec-18","0","number ","","",""
"Black other ","Higher","Dec-18","0","number ","","",""
"Other inc Chinese","Higher","Dec-18","0","number ","","",""
"Chinese","Higher","Dec-18","0","number ","",""," "
"Any other","Higher","Dec-18","0","number ","","",""
"All","Higher","Dec-18","23","number ","","",""
"White","CBE","Dec-18","79","number ","","",""
"White British","CBE","Dec-18","74","number ","","",""
"White other","CBE","Dec-18","5","number ","","",""
"Mixed","CBE","Dec-18","0","number ","","",""
"Mixed White/Black Caribbean","CBE","Dec-18","0","number ","","",""
"Mixed White/Black African","CBE","Dec-18","0","number ","","",""
"Mixed White/Asian","CBE","Dec-18","0","number ","","",""
"Mixed other","CBE","Dec-18","0","number ","","",""
"Asian","CBE","Dec-18","2","number ","","",""
"Indian","CBE","Dec-18","2","number ","","",""
"Pakistani","CBE","Dec-18","0","number ","","",""
"Bangladeshi","CBE","Dec-18","0","number ","","",""
"Asian other","CBE","Dec-18","0","number ","","",""
"Black","CBE","Dec-18","1","number ","","",""
"Black Caribbean","CBE","Dec-18","1","number ","","",""
"Black African","CBE","Dec-18","0","number ","","",""
"Black other ","CBE","Dec-18","0","number ","","",""
"Other inc Chinese","CBE","Dec-18","0","number ","","",""
"Chinese","CBE","Dec-18","0","number ","","",""
"Any other","CBE","Dec-18","0","number ","","",""
"All","CBE","Dec-18","82","number ","","",""
"White","OBE","Dec-18","189","number ","","",""
"White British","OBE","Dec-18","185","number ","","",""
"White other","OBE","Dec-18","4","number ","","",""
"Mixed","OBE","Dec-18","7","number ","","",""
"Mixed White/Black Caribbean","OBE","Dec-18","4","number ","","",""
"Mixed White/Black African","OBE","Dec-18","1","number ","","",""
"Mixed White/Asian","OBE","Dec-18","1","number ","","",""
"Mixed other","OBE","Dec-18","1","number ","","",""
"Asian","OBE","Dec-18","9","number ","","",""
"Indian","OBE","Dec-18","3","number ","","",""
