"Category","Ethnicity","%","Number"
"All","Asian","6.3","60"
"All","Black","3.8","36"
"All","Mixed","2.0","19"
"All","White","87.5","830"
"All","Other","0.4","4"
"Higher","Asian","0.0","0"
"Higher","Black","14.7","5"
"Higher","Mixed","0.0","0"
"Higher","White","85.3","29"
"Higher","Other","0.0","0"
"CBE","Asian","5.3","5"
"CBE","Black","4.3","4"
"CBE","Mixed","2.1","2"
"CBE","White","87.2","82"
"CBE","Other","1.1","1"
"OBE","Asian","6.0","12"
"OBE","Black","3.0","6"
"OBE","Mixed","2.0","4"
"OBE","White","88.5","177"
"OBE","Other","0.5","1"
"MBE","Asian","8.1","29"
"MBE","Black","3.9","14"
"MBE","Mixed","2.8","10"
"MBE","White","84.7","304"
"MBE","Other","0.6","2"
"BEM","Asian","5.3","14"
"BEM","Black","2.7","7"
"BEM","Mixed","1.1","3"
"BEM","White","90.8","238"
"BEM","Other","0.0","0"
