"Ethnicity","Category","Time","Value","Number"
"All","All","Dec-19","100","949"
"Asian","All","Dec-19","6.322444679","60"
"Indian","All","Dec-19","3.161222339","30"
"Pakistani","All","Dec-19","1.159114858","11"
"Bangladeshi","All","Dec-19","0.52687039","5"
"Chinese","All","Dec-19","0.52687039","5"
"Asian other","All","Dec-19","0.948366702","9"
"Black","All","Dec-19","3.793466807","36"
"Black Caribbean","All","Dec-19","2.212855638","21"
"Black African","All","Dec-19","1.369863014","13"
"Black other ","All","Dec-19","0.210748156","2"
"Mixed","All","Dec-19","2.002107482","19"
"Mixed White/Black Caribbean","All","Dec-19","0.421496312","4"
"Mixed White/Black African","All","Dec-19","0.421496312","4"
"Mixed White/Asian","All","Dec-19","0.948366702","9"
"Mixed other","All","Dec-19","0.210748156","2"
"White","All","Dec-19","87.46048472","830"
"White British","All","Dec-19","85.03688093","807"
"White other","All","Dec-19","2.423603793","23"
"Any other","All","Dec-19","0.421496312","4"
"Unknown ","All","Dec-19","!","148"
"All","Higher","Dec-19","100","34"
"Asian","Higher","Dec-19","0","0"
"Indian","Higher","Dec-19","0","0"
"Pakistani","Higher","Dec-19","0","0"
"Bangladeshi","Higher","Dec-19","0","0"
"Chinese","Higher","Dec-19","0","0"
"Asian other","Higher","Dec-19","0","0"
"Black","Higher","Dec-19","14.70588235","5"
"Black Caribbean","Higher","Dec-19","11.76470588","4"
"Black African","Higher","Dec-19","2.941176471","1"
"Black other ","Higher","Dec-19","0","0"
"Mixed","Higher","Dec-19","0","0"
"Mixed White/Black Caribbean","Higher","Dec-19","0","0"
"Mixed White/Black African","Higher","Dec-19","0","0"
"Mixed White/Asian","Higher","Dec-19","0","0"
"Mixed other","Higher","Dec-19","0","0"
"White","Higher","Dec-19","85.29411765","29"
"White British","Higher","Dec-19","85.29411765","29"
"White other","Higher","Dec-19","0","0"
"Any other","Higher","Dec-19","0","0"
"Unknown ","Higher","Dec-19","!","8"
"All","CBE","Dec-19","100","94"
"Asian","CBE","Dec-19","5.319148936","5"
"Indian","CBE","Dec-19","2.127659574","2"
"Pakistani","CBE","Dec-19","0","0"
"Bangladeshi","CBE","Dec-19","0","0"
"Chinese","CBE","Dec-19","1.063829787","1"
"Asian other","CBE","Dec-19","2.127659574","2"
"Black","CBE","Dec-19","4.255319149","4"
"Black Caribbean","CBE","Dec-19","1.063829787","1"
"Black African","CBE","Dec-19","1.063829787","1"
"Black other ","CBE","Dec-19","2.127659574","2"
"Mixed","CBE","Dec-19","2.127659574","2"
"Mixed White/Black Caribbean","CBE","Dec-19","0","0"
"Mixed White/Black African","CBE","Dec-19","1.063829787","1"
"Mixed White/Asian","CBE","Dec-19","0","0"
"Mixed other","CBE","Dec-19","1.063829787","1"
"White","CBE","Dec-19","87.23404255","82"
"White British","CBE","Dec-19","81.91489362","77"
"White other","CBE","Dec-19","5.319148936","5"
"Any other","CBE","Dec-19","1.063829787","1"
"Unknown ","CBE","Dec-19","!","20"
"All","OBE","Dec-19","100","200"
"Asian","OBE","Dec-19","6","12"
"Indian","OBE","Dec-19","3.5","7"
"Pakistani","OBE","Dec-19","1.5","3"
"Bangladeshi","OBE","Dec-19","0.5","1"
"Chinese","OBE","Dec-19","0","0"
"Asian other","OBE","Dec-19","0.5","1"
"Black","OBE","Dec-19","3","6"
"Black Caribbean","OBE","Dec-19","2","4"
"Black African","OBE","Dec-19","1","2"
"Black other ","OBE","Dec-19","0","0"
"Mixed","OBE","Dec-19","2","4"
"Mixed White/Black Caribbean","OBE","Dec-19","0","0"
"Mixed White/Black African","OBE","Dec-19","0.5","1"
"Mixed White/Asian","OBE","Dec-19","1","2"
"Mixed other","OBE","Dec-19","0.5","1"
"White","OBE","Dec-19","88.5","177"
"White British","OBE","Dec-19","85.5","171"
"White other","OBE","Dec-19","3","6"
"Any other","OBE","Dec-19","0.5","1"
"Unknown ","OBE","Dec-19","!","29"
"All","MBE","Dec-19","100","359"
"Asian","MBE","Dec-19","8.077994429","29"
"Indian","MBE","Dec-19","3.621169916","13"
"Pakistani","MBE","Dec-19","1.949860724","7"
"Bangladeshi","MBE","Dec-19","0.835654596","3"
"Chinese","MBE","Dec-19","0.835654596","3"
"Asian other","MBE","Dec-19","0.835654596","3"
"Black","MBE","Dec-19","3.899721448","14"
"Black Caribbean","MBE","Dec-19","2.228412256","8"
"Black African","MBE","Dec-19","1.671309192","6"
"Black other ","MBE","Dec-19","0","0"
"Mixed","MBE","Dec-19","2.78551532","10"
"Mixed White/Black Caribbean","MBE","Dec-19","0.835654596","3"
"Mixed White/Black African","MBE","Dec-19","0.557103064","2"
"Mixed White/Asian","MBE","Dec-19","1.39275766","5"
"Mixed other","MBE","Dec-19","0","0"
