"Time","Ethnicity","%","Number of respondents"
"2016-17","All","22","10,256"
"2016-17","Asian","17","1,111"
"2016-17","Black","25","360"
"2016-17","Mixed","16","467"
"2016-17","White","23","8,022"
"2016-17","Other","23","163"
"2017-18","All","22","10,217"
"2017-18","Asian","18","926"
"2017-18","Black","24","353"
"2017-18","Mixed","19","510"
"2017-18","White","23","8,108"
"2017-18","Other","18","124"
"2018-19","All","22","10,627"
"2018-19","Asian","16","909"
"2018-19","Black","25","348"
"2018-19","Mixed","19","499"
"2018-19","White","22","8,560"
"2018-19","Other","22","125"
"2019-20","All","23","10,243"
"2019-20","Asian","15","798"
"2019-20","Black","24","396"
"2019-20","Mixed","19","464"
"2019-20","White","23","8,057"
"2019-20","Other","18","118"
