"Measure","Time","Time_type","Ethnicity","Ethnicity_type","Geography","Value","Number of respondents","","","","","","","","",""
"Formal volunteering at least once a month","2016-17","Year","All","5+1","England","22","10,256","","","","","","","","",""
"Formal volunteering at least once a month","2016-17","Year","Asian","5+1","England","17","1,111","","","","","","","","",""
"Formal volunteering at least once a month","2016-17","Year","Black","5+1","England","25","360","","","","","","","","",""
"Formal volunteering at least once a month","2016-17","Year","Mixed","5+1","England","16","467","","","","","","","","",""
"Formal volunteering at least once a month","2016-17","Year","Other","5+1","England","23","163","","","","","","","","",""
"Formal volunteering at least once a month","2016-17","Year","White","5+1","England","23","8,022","","","","","","","","",""
"Formal volunteering at least once a month","2017-18","Year","All","5+1","England","22","10,217","","","","","","","","",""
"Formal volunteering at least once a month","2017-18","Year","Asian","5+1","England","18","926","","","","","","","","",""
"Formal volunteering at least once a month","2017-18","Year","Black","5+1","England","24","353","","","","","","","","",""
"Formal volunteering at least once a month","2017-18","Year","Mixed","5+1","England","19","510","","","","","","","","",""
"Formal volunteering at least once a month","2017-18","Year","Other","5+1","England","18","124","","","","","","","","",""
"Formal volunteering at least once a month","2017-18","Year","White","5+1","England","23","8,108","","","","","","","","",""
"Formal volunteering at least once a month","2018-19","Year","All","5+1","England","22","10,627","","","","","","","","",""
"Formal volunteering at least once a month","2018-19","Year","Asian","5+1","England","16","909","","","","","","","","",""
"Formal volunteering at least once a month","2018-19","Year","Black","5+1","England","25","348","","","","","","","","",""
"Formal volunteering at least once a month","2018-19","Year","Mixed","5+1","England","19","499","","","","","","","","",""
"Formal volunteering at least once a month","2018-19","Year","Other","5+1","England","22","125","","","","","","","","",""
"Formal volunteering at least once a month","2018-19","Year","White","5+1","England","22","8,560","","","","","","","","",""
"Formal volunteering at least once a month","2019-20","Year","All","5+1","England","23","10,243","","","","","","","","",""
"Formal volunteering at least once a month","2019-20","Year","Asian","5+1","England","15","798","","","","","","","","",""
"Formal volunteering at least once a month","2019-20","Year","Black","5+1","England","24","396","","","","","","","","",""
"Formal volunteering at least once a month","2019-20","Year","Mixed","5+1","England","19","464","","","","","","","","",""
"Formal volunteering at least once a month","2019-20","Year","Other","5+1","England","18","118","","","","","","","","",""
"Formal volunteering at least once a month","2019-20","Year","White","5+1","England","23","8057","","","","","","","","",""
