"Time","Ethnicity","%","Number of respondents"
"2016-17","All","73","10,235"
"2016-17","Asian","67","1,108"
"2016-17","Black","68","360"
"2016-17","Mixed","70","463"
"2016-17","White","74","8,009"
"2016-17","Other","67","162"
"2017-18","All","73","10,191"
"2017-18","Asian","67","923"
"2017-18","Black","62","352"
"2017-18","Mixed","68","508"
"2017-18","White","74","8,089"
"2017-18","Other","54","124"
"2018-19","All","72","10,607"
"2018-19","Asian","66","908"
"2018-19","Black","65","348"
"2018-19","Mixed","66","497"
"2018-19","White","73","8,548"
"2018-19","Other","51","124"
"2019-20","All","72","10,222"
"2019-20","Asian","64","795"
"2019-20","Black","66","395"
"2019-20","Mixed","67","462"
"2019-20","White","74","8,045"
"2019-20","Other","54","118"
