"Measure","Time","Time_type","Ethnicity","Ethnicity_type","Geography","Value","Number of respondents"
"Chatting to neighbours (more than just to say hello) at least once a month","2016-17","Year","All","5+1","England","73","10,235"
"Chatting to neighbours (more than just to say hello) at least once a month","2016-17","Year","Asian","5+1","England","67","1,108"
"Chatting to neighbours (more than just to say hello) at least once a month","2016-17","Year","Black","5+1","England","68","360"
"Chatting to neighbours (more than just to say hello) at least once a month","2016-17","Year","Mixed","5+1","England","70","463"
"Chatting to neighbours (more than just to say hello) at least once a month","2016-17","Year","White","5+1","England","74","8,009"
"Chatting to neighbours (more than just to say hello) at least once a month","2016-17","Year","Other","5+1","England","67","162"
"Chatting to neighbours (more than just to say hello) at least once a month","2017-18","Year","All","5+1","England","73","10,191"
"Chatting to neighbours (more than just to say hello) at least once a month","2017-18","Year","Asian","5+1","England","67","923"
"Chatting to neighbours (more than just to say hello) at least once a month","2017-18","Year","Black","5+1","England","62","352"
"Chatting to neighbours (more than just to say hello) at least once a month","2017-18","Year","Mixed","5+1","England","68","508"
"Chatting to neighbours (more than just to say hello) at least once a month","2017-18","Year","White","5+1","England","74","8,089"
"Chatting to neighbours (more than just to say hello) at least once a month","2017-18","Year","Other","5+1","England","54","124"
"Chatting to neighbours (more than just to say hello) at least once a month","2018-19","Year","All","5+1","England","72","10,607"
"Chatting to neighbours (more than just to say hello) at least once a month","2018-19","Year","Asian","5+1","England","66","908"
"Chatting to neighbours (more than just to say hello) at least once a month","2018-19","Year","Black","5+1","England","65","348"
"Chatting to neighbours (more than just to say hello) at least once a month","2018-19","Year","Mixed","5+1","England","66","497"
"Chatting to neighbours (more than just to say hello) at least once a month","2018-19","Year","White","5+1","England","73","8,548"
"Chatting to neighbours (more than just to say hello) at least once a month","2018-19","Year","Other","5+1","England","51","124"
"Chatting to neighbours (more than just to say hello) at least once a month","2019-20","Year","All","5+1","England","72"," 10,222 "
"Chatting to neighbours (more than just to say hello) at least once a month","2019-20","Year","Asian","5+1","England","64"," 795 "
"Chatting to neighbours (more than just to say hello) at least once a month","2019-20","Year","Black","5+1","England","66"," 395 "
"Chatting to neighbours (more than just to say hello) at least once a month","2019-20","Year","Mixed","5+1","England","67"," 462 "
"Chatting to neighbours (more than just to say hello) at least once a month","2019-20","Year","White","5+1","England","74"," 8,045 "
"Chatting to neighbours (more than just to say hello) at least once a month","2019-20","Year","Other","5+1","England","54"," 118 "
