"Time","Ethnicity","Value","Number of respondents"
"2016-17","All","62","10,215"
"2016-17","Asian","64","1,109"
"2016-17","Black","60","357"
"2016-17","Mixed","65","462"
"2016-17","White","61","7,996"
"2016-17","Other","62","162"
"2017-18","All","62","10,173"
"2017-18","Asian","65","925"
"2017-18","Black","56","353"
"2017-18","Mixed","56","508"
"2017-18","White","63","8,067"
"2017-18","Other","44","124"
"2018-19","All","62","10,599"
"2018-19","Asian","59","907"
"2018-19","Black","62","348"
"2018-19","Mixed","61","497"
"2018-19","White","62","8,541"
"2018-19","Other","47","125"
