"Ethnicity","Time","%","Number of respondents"
"All","2012/13","78.4","9,838"
"All","2013/14","77.5","10,355"
"All","2014/15","76.8","9,817"
"All","2015/16","76.1","10,171"
"All","2016/17","77.4","9,352"
"All","2017/18","78.9","7,715"
"Asian","2012/13","66.0","394"
"Asian","2013/14","65.2","404"
"Asian","2014/15","66.7","367"
"Asian","2015/16","59.3","434"
"Asian","2016/17","66.8","423"
"Asian","2017/18","64.4","397"
"Black","2012/13","73.4","188"
"Black","2013/14","72.8","203"
"Black","2014/15","66.7","239"
"Black","2015/16","69.7","242"
"Black","2016/17","68.7","242"
"Black","2017/18","74.0","203"
"Mixed","2012/13","79.1","171"
"Mixed","2013/14","82.9","142"
"Mixed","2014/15","80.0","99"
"Mixed","2015/16","81.8","119"
"Mixed","2016/17","81.4","170"
"Mixed","2017/18","86.8","144"
"White","2012/13","79.5","9,054"
"White","2013/14","78.5","9,546"
"White","2014/15","77.9","9,050"
"White","2015/16","77.6","9,312"
"White","2016/17","78.5","8,473"
"White","2017/18","80.1","6,854"
"Other","2012/13","?","22"
"Other","2013/14","74.9","49"
"Other","2014/15","66.8","52"
"Other","2015/16","72.3","55"
"Other","2016/17","?","27"
"Other","2017/18","72.5","79"
