"Measure","Time","Time_type","Ethnicity","Ethnicity_type","Geography","Value","Upper bound","Lower bound","Sample size"
"Proportion of adults (16+) who have used a public library service in the last 12 months","2017/18","Year","White","ONS 2011 5+1","England","31.7","33","30.3","6,854"
"Proportion of adults (16+) who have used a public library service in the last 12 months","2017/18","Year","Mixed","ONS 2011 5+1","England","39.5","48.3","30.6","144"
"Proportion of adults (16+) who have used a public library service in the last 12 months","2017/18","Year","Asian","ONS 2011 5+1","England","38.5","44.1","32.9","397"
"Proportion of adults (16+) who have used a public library service in the last 12 months","2017/18","Year","Black","ONS 2011 5+1","England","42.6","51.8","33.4","203"
"Proportion of adults (16+) who have used a public library service in the last 12 months","2017/18","Year","Other","ONS 2011 5+1","England","25.4","37.5","13.4","79"
"Proportion of adults (16+) who have used a public library service in the last 12 months","2017/18","Year","All","ONS 2011 5+1","England","32.7","34","31.4","7,715"
"Proportion of adults (16+) who have used a public library service in the last 12 months","2012/13","Year","White","ONS 2011 5+1","England","35.9","34.6","37.3","9054"
"Proportion of adults (16+) who have used a public library service in the last 12 months","2012/13","Year","Mixed","ONS 2011 5+1","England","47.2","39.2","55.4","171"
"Proportion of adults (16+) who have used a public library service in the last 12 months","2012/13","Year","Asian","ONS 2011 5+1","England","43.5","37.2","50","394"
"Proportion of adults (16+) who have used a public library service in the last 12 months","2012/13","Year","Black","ONS 2011 5+1","England","49.7","40.5","58.9","188"
"Proportion of adults (16+) who have used a public library service in the last 12 months","2012/13","Year","Other","ONS 2011 5+1","England","?","?","?","22"
"Proportion of adults (16+) who have used a public library service in the last 12 months","2012/13","Year","All","ONS 2011 5+1","England","37.0","38.2","35.7","9,838"
"Proportion of adults (16+) who have used a public library service in the last 12 months","2013/14","Year","White","ONS 2011 5+1","England","33.8","32.6","35.1","9546"
"Proportion of adults (16+) who have used a public library service in the last 12 months","2013/14","Year","Mixed","ONS 2011 5+1","England","43.8","34.2","53.8","142"
"Proportion of adults (16+) who have used a public library service in the last 12 months","2013/14","Year","Asian","ONS 2011 5+1","England","49.2","42.5","56","404"
"Proportion of adults (16+) who have used a public library service in the last 12 months","2013/14","Year","Black","ONS 2011 5+1","England","50.0","41.2","58.8","203"
"Proportion of adults (16+) who have used a public library service in the last 12 months","2013/14","Year","Other","ONS 2011 5+1","England","38.0","23.3","55.2","49"
"Proportion of adults (16+) who have used a public library service in the last 12 months","2013/14","Year","All","ONS 2011 5+1","England","35.4","36.5","34.3","10,355"
