"Ethnicity","Time","%","Number of respondents"
"All","2012/13","72.7","9,838"
"All","2013/14","72.5","10,355"
"All","2014/15","72.6","9,817"
"All","2015/16","73.2","10,171"
"All","2016/17","74.2","9,352"
"All","2017/18","72.8","7,715"
"All","2018/19","72.4","8,161"
"Asian","2012/13","57.0","394"
"Asian","2013/14","61.5","404"
"Asian","2014/15","55.5","367"
"Asian","2015/16","60.0","434"
"Asian","2016/17","59.4","423"
"Asian","2017/18","54.4","397"
"Asian","2018/19","56.3","487"
"Black","2012/13","55.9","188"
"Black","2013/14","50.6","203"
"Black","2014/15","49.9","239"
"Black","2015/16","51.8","242"
"Black","2016/17","47.1","242"
"Black","2017/18","38.6","203"
"Black","2018/19","42.3","226"
"Mixed","2012/13","58.5","171"
"Mixed","2013/14","62.9","142"
"Mixed","2014/15","70.9","99"
"Mixed","2015/16","60.5","119"
"Mixed","2016/17","68.8","170"
"Mixed","2017/18","74.6","144"
"Mixed","2018/19","70.9","121"
"White","2012/13","74.6","9,054"
"White","2013/14","74.1","9,546"
"White","2014/15","74.7","9,050"
"White","2015/16","75.4","9,312"
"White","2016/17","76.7","8,473"
"White","2017/18","76.0","6,853"
"White","2018/19","75.4","7,239"
"Other","2012/13","!","22"
"Other","2013/14","65.7","49"
"Other","2014/15","64.0","52"
"Other","2015/16","52.2","55"
"Other","2016/17","!","27"
"Other","2017/18","56.6","79"
"Other","2018/19","58.8","46"
