"Ethnicity","Age Bracket","%","No. of people (thousands)"
"All","16-24","99","6,991"
"All","25-34","99","8,888"
"All","35-44","99","8,139"
"All","45-54","97","8,809"
"All","55-64","92","7,185"
"All","65-74","80","5,261"
"All","75+","44","2,262"
"Asian","16-24","100","623"
"Asian","25-34","99","826"
"Asian","35-44","97","783"
"Asian","45-54","95","476"
"Asian","55-64","84","240"
"Asian","65-74","63","77"
"Asian","75+","41","37"
"Black","16-24","97","260"
"Black","25-34","98","280"
"Black","35-44","97","302"
"Black","45-54","96","301"
"Black","55-64","90","162"
"Black","65-74","?","?"
"Black","75+","?","?"
"White","16-24","99","5,805"
"White","25-34","99","7,476"
"White","35-44","99","6,742"
"White","45-54","97","7,824"
"White","55-64","92","6,678"
"White","65-74","81","5,105"
"White","75+","44","2,195"
"Other inc Mixed","16-24","100","303"
"Other inc Mixed","25-34","98","305"
"Other inc Mixed","35-44","97","312"
"Other inc Mixed","45-54","98","207"
"Other inc Mixed","55-64","90","104"
"Other inc Mixed","65-74","?","?"
"Other inc Mixed","75+","?","?"
