"Ethnicity","Geography","%","No. of people (thousands)"
"All","UK","90","47,535"
"All","North East","88","1,879"
"All","North West","89","5,140"
"All","Yorkshire and the Humber","88","3,831"
"All","East Midlands","88","3,372"
"All","West Midlands","89","4,102"
"All","East of England","91","4,482"
"All","London","93","6,578"
"All","South East","92","6,670"
"All","South West","90","4,035"
"All","Wales","89","2,247"
"All","Scotland","89","3,943"
"All","Northern Ireland","86","1,254"
"Asian","UK","94","3,064"
"Asian","North East","?","?"
"Asian","North West","93","264"
"Asian","Yorkshire and the Humber","91","242"
"Asian","East Midlands","89","184"
"Asian","West Midlands","94","422"
"Asian","East of England","96","170"
"Asian","London","93","1,171"
"Asian","South East","97","354"
"Asian","South West","97","79"
"Asian","Wales","?","?"
"Asian","Scotland","?","?"
"Asian","Northern Ireland","?","?"
"Black","UK","91","1,352"
"Black","North East","?","?"
"Black","North West","94","90"
"Black","Yorkshire and the Humber","91","50"
"Black","East Midlands","96","92"
"Black","West Midlands","87","145"
"Black","East of England","89","81"
"Black","London","90","702"
"Black","South East","97","89"
"Black","South West","?","?"
"Black","Wales","?","?"
"Black","Scotland","?","?"
"Black","Northern Ireland","?","?"
"White","UK","89","41,825"
"White","North East","87","1,791"
"White","North West","89","4,682"
"White","Yorkshire and the Humber","87","3,465"
"White","East Midlands","88","3,031"
"White","West Midlands","88","3,443"
"White","East of England","90","4,146"
"White","London","93","4,154"
"White","South East","91","6,065"
"White","South West","90","3,851"
"White","Wales","89","2,169"
"White","Scotland","89","3,806"
"White","Northern Ireland","85","1,221"
"Other inc Mixed","UK","96","1,294"
"Other inc Mixed","North East","?","?"
"Other inc Mixed","North West","96","104"
"Other inc Mixed","Yorkshire and the Humber","?","?"
"Other inc Mixed","East Midlands","?","?"
"Other inc Mixed","West Midlands","98","92"
"Other inc Mixed","East of England","?","?"
"Other inc Mixed","London","95","551"
"Other inc Mixed","South East","99","162"
"Other inc Mixed","South West","92","65"
"Other inc Mixed","Wales","?","?"
"Other inc Mixed","Scotland","?","?"
"Other inc Mixed","Northern Ireland","?","?"
