"","All","","Asian","","Black","","Mixed","","White","","Other",""
"Mode of transport","%","Miles","%","Miles","%","Miles","%","Miles","%","Miles","%","Miles"
"Bicycle","1","56","0","19","1","22","?","?","1","62","?","?"
"Bus in London","1","73","4","190","11","448","3","135","1","45","6","268"
"Car / van driver","50","3,273","41","1,866","34","1,433","31","1,588","51","3,518","41","1,752"
"Car / van passenger","28","1,817","29","1,309","20","826","36","1,851","28","1,908","27","1,158"
"London Underground","1","97","4","205","4","181","3","138","1","82","4","162"
"Motorcycle","0","31","?","?","?","?","?","?","1","35","?","?"
"Non-local bus","1","49","?","?","?","?","?","?","1","48","?","?"
"Other local bus","3","187","2","101","5","211","4","219","3","194","4","155"
"Other private transport","2","101","1","38","?","?","?","?","2","109","?","?"
"Other public transport","1","44","1","26","1","50","?","?","1","45","?","?"
"Surface Rail","9","569","12","538","16","657","10","530","8","571","10","421"
"Taxi / minicab","1","57","1","43","2","64","?","?","1","58","?","?"
"Walk","3","199","4","183","5","196","5","261","3","199","5","207"
