"Ethnicity","Mode of transport","%","Miles"
"All","Bicycle","1","56"
"All","Bus in London","1","73"
"All","Car / van driver","50","3,273"
"All","Car / van passenger","28","1,817"
"All","London Underground","1","97"
"All","Motorcycle","0","31"
"All","Non-local bus","1","49"
"All","Other local bus","3","187"
"All","Other private transport","2","101"
"All","Other public transport","1","44"
"All","Surface Rail","9","569"
"All","Taxi / minicab","1","57"
"All","Walk","3","199"
"Asian","Bicycle","0","19"
"Asian","Bus in London","4","190"
"Asian","Car / van driver","41","1,866"
"Asian","Car / van passenger","29","1,309"
"Asian","London Underground","4","205"
"Asian","Motorcycle","?","?"
"Asian","Non-local bus","?","?"
"Asian","Other local bus","2","101"
"Asian","Other private transport","1","38"
"Asian","Other public transport","1","26"
"Asian","Surface Rail","12","538"
"Asian","Taxi / minicab","1","43"
"Asian","Walk","4","183"
"Black","Bicycle","1","22"
"Black","Bus in London","11","448"
"Black","Car / van driver","34","1,433"
"Black","Car / van passenger","20","826"
"Black","London Underground","4","181"
"Black","Motorcycle","?","?"
"Black","Non-local bus","?","?"
"Black","Other local bus","5","211"
"Black","Other private transport","?","?"
"Black","Other public transport","1","50"
"Black","Surface Rail","16","657"
"Black","Taxi / minicab","2","64"
"Black","Walk","5","196"
"Mixed","Bicycle","?","?"
"Mixed","Bus in London","3","135"
"Mixed","Car / van driver","31","1,588"
"Mixed","Car / van passenger","36","1,851"
"Mixed","London Underground","3","138"
"Mixed","Motorcycle","?","?"
"Mixed","Non-local bus","?","?"
"Mixed","Other local bus","4","219"
"Mixed","Other private transport","?","?"
"Mixed","Other public transport","?","?"
"Mixed","Surface Rail","10","530"
"Mixed","Taxi / minicab","?","?"
"Mixed","Walk","5","261"
"White","Bicycle","1","62"
"White","Bus in London","1","45"
"White","Car / van driver","51","3,518"
"White","Car / van passenger","28","1,908"
"White","London Underground","1","82"
"White","Motorcycle","1","35"
"White","Non-local bus","1","48"
"White","Other local bus","3","194"
"White","Other private transport","2","109"
"White","Other public transport","1","45"
"White","Surface Rail","8","571"
"White","Taxi / minicab","1","58"
"White","Walk","3","199"
"Other","Bicycle","?","?"
"Other","Bus in London","6","268"
"Other","Car / van driver","41","1,752"
"Other","Car / van passenger","27","1,158"
"Other","London Underground","4","162"
"Other","Motorcycle","?","?"
"Other","Non-local bus","?","?"
"Other","Other local bus","4","155"
"Other","Other private transport","?","?"
"Other","Other public transport","?","?"
"Other","Surface Rail","10","421"
"Other","Taxi / minicab","?","?"
"Other","Walk","5","207"
