"","All","","Asian","","Black","","Mixed","","White","","Other",""
"Mode of transport","%","Trips","%","Trips","%","Trips","%","Trips","%","Trips","%","Trips"
"Bicycle","2","17","1","8","?","?","?","?","2","18","?","?"
"Bus in London","2","18","6","45","13","100","4","34","1","11","9","70"
"Car / van driver","40","388","31","249","26","198","19","173","42","413","28","229"
"Car / van passenger","21","204","21","171","16","122","27","248","21","211","18","148"
"London Underground","1","10","2","19","2","18","?","?","1","9","?","?"
"Motorcycle","0","3","?","?","?","?","?","?","0","3","?","?"
"Non-local bus","0","1","?","?","?","?","?","?","0","1","?","?"
"Other local bus","4","38","3","22","6","47","6","51","4","38","4","35"
"Other private transport","1","7","0","3","?","?","?","?","1","7","?","?"
"Other public transport","0","3","1","5","1","7","?","?","0","3","?","?"
"Surface Rail","2","21","3","26","5","39","3","30","2","20","3","24"
"Taxi / minicab","1","10","1","8","1","10","?","?","1","10","?","?"
"Walk","25","239","30","244","29","222","35","313","24","238","31","249"
