"Ethnicity","Purpose of trip","%","Trips"
"All","Business","3","31"
"All","Commuting","15","145"
"All","Education / escort education","12","119"
"All","Leisure","26","247"
"All","Other escort","9","86"
"All","Other including just walk","5","53"
"All","Personal business","10","93"
"All","Shopping","19","184"
"Asian","Business","2","18"
"Asian","Commuting","19","155"
"Asian","Education / escort education","21","166"
"Asian","Leisure","18","143"
"Asian","Other escort","9","70"
"Asian","Other including just walk","3","25"
"Asian","Personal business","11","89"
"Asian","Shopping","17","137"
"Black","Business","3","27"
"Black","Commuting","18","140"
"Black","Education / escort education","22","174"
"Black","Leisure","16","128"
"Black","Other escort","9","68"
"Black","Other including just walk","2","16"
"Black","Personal business","14","107"
"Black","Shopping","15","117"
"Mixed","Business","2","20"
"Mixed","Commuting","12","112"
"Mixed","Education / escort education","22","198"
"Mixed","Leisure","25","228"
"Mixed","Other escort","11","101"
"Mixed","Other including just walk","5","49"
"Mixed","Personal business","8","74"
"Mixed","Shopping","13","120"
"White","Business","3","32"
"White","Commuting","15","145"
"White","Education / escort education","11","111"
"White","Leisure","27","263"
"White","Other escort","9","88"
"White","Other including just walk","6","57"
"White","Personal business","9","93"
"White","Shopping","20","192"
"Other","Business","3","27"
"Other","Commuting","18","149"
"Other","Education / escort education","22","176"
"Other","Leisure","17","138"
"Other","Other escort","10","79"
"Other","Other including just walk","4","31"
"Other","Personal business","8","63"
"Other","Shopping","18","145"
