"Ethnicity","Purpose of trip","%","Miles"
"All","Business","9","579"
"All","Commuting","20","1,293"
"All","Education/escort","5","334"
"All","Leisure","40","2,652"
"All","Personal business","7","466"
"All","Shopping","11","734"
"All","Other escort","7","442"
"All","Other inc just walk","1","54"
"Asian","Business","6","287"
"Asian","Commuting","28","1,334"
"Asian","Education/escort","9","408"
"Asian","Leisure","34","1,576"
"Asian","Personal business","8","368"
"Asian","Shopping","9","426"
"Asian","Other escort","6","275"
"Asian","Other inc just walk","1","31"
"Black","Business","9","356"
"Black","Commuting","28","1,144"
"Black","Education/escort","12","483"
"Black","Leisure","26","1,074"
"Black","Personal business","10","400"
"Black","Shopping","8","328"
"Black","Other escort","7","265"
"Black","Other inc just walk","0","15"
"Mixed","Business","6","305"
"Mixed","Commuting","18","908"
"Mixed","Education/escort","12","614"
"Mixed","Leisure","43","2,193"
"Mixed","Personal business","6","287"
"Mixed","Shopping","6","310"
"Mixed","Other escort","8","430"
"Mixed","Other inc just walk","1","36"
"White","Business","9","623"
"White","Commuting","19","1,305"
"White","Education/escort","5","314"
"White","Leisure","41","2,840"
"White","Personal business","7","482"
"White","Shopping","11","789"
"White","Other escort","7","466"
"White","Other inc just walk","1","58"
"Other","Business","8","336"
"Other","Commuting","26","1,142"
"Other","Education/escort","11","470"
"Other","Leisure","29","1,281"
"Other","Personal business","8","356"
"Other","Shopping","11","490"
"Other","Other escort","7","333"
"Other","Other inc just walk","1","33"
