"Ethnicity","Mode of transport","%","Trips"
"All","Bicycle","2","16"
"All","Bus in London","2","17"
"All","Car / van driver","40","387"
"All","Car / van passenger","21","203"
"All","London Underground","1","10"
"All","Motorcycle","0","3"
"All","Non-local bus","0","1"
"All","Other local bus","4","36"
"All","Other private transport","1","7"
"All","Other public transport","0","3"
"All","Surface Rail","2","21"
"All","Taxi / minicab","1","10"
"All","Walk","26","245"
"Asian","Bicycle","1","8"
"Asian","Bus in London","6","46"
"Asian","Car / van driver","31","252"
"Asian","Car / van passenger","21","168"
"Asian","London Underground","2","18"
"Asian","Motorcycle","?","?"
"Asian","Non-local bus","?","?"
"Asian","Other local bus","3","23"
"Asian","Other private transport","0","3"
"Asian","Other public transport","1","5"
"Asian","Surface Rail","3","26"
"Asian","Taxi / minicab","1","9"
"Asian","Walk","31","250"
"Black","Bicycle","1","8"
"Black","Bus in London","12","93"
"Black","Car / van driver","25","195"
"Black","Car / van passenger","15","116"
"Black","London Underground","2","19"
"Black","Motorcycle","?","?"
"Black","Non-local bus","?","?"
"Black","Other local bus","7","55"
"Black","Other private transport","?","?"
"Black","Other public transport","?","?"
"Black","Surface Rail","5","37"
"Black","Taxi / minicab","1","10"
"Black","Walk","29","227"
"Mixed","Bicycle","?","?"
"Mixed","Bus in London","4","35"
"Mixed","Car / van driver","19","172"
"Mixed","Car / van passenger","28","253"
"Mixed","London Underground","2","18"
"Mixed","Motorcycle","?","?"
"Mixed","Non-local bus","?","?"
"Mixed","Other local bus","6","51"
"Mixed","Other private transport","?","?"
"Mixed","Other public transport","?","?"
"Mixed","Surface Rail","3","26"
"Mixed","Taxi / minicab","?","?"
"Mixed","Walk","35","323"
"White","Bicycle","2","17"
"White","Bus in London","1","11"
"White","Car / van driver","42","413"
"White","Car / van passenger","21","210"
"White","London Underground","1","9"
"White","Motorcycle","0","3"
"White","Non-local bus","0","1"
"White","Other local bus","4","36"
"White","Other private transport","1","7"
"White","Other public transport","0","3"
"White","Surface Rail","2","20"
"White","Taxi / minicab","1","10"
"White","Walk","25","244"
"Other","Bicycle","?","?"
"Other","Bus in London","8","65"
"Other","Car / van driver","28","232"
"Other","Car / van passenger","18","154"
"Other","London Underground","?","?"
"Other","Motorcycle","?","?"
"Other","Non-local bus","?","?"
"Other","Other local bus","5","42"
"Other","Other private transport","?","?"
"Other","Other public transport","?","?"
"Other","Surface Rail","3","27"
"Other","Taxi / minicab","?","?"
"Other","Walk","33","274"
