"Ethnicity","Purpose of trip","%","Trips"
"All","Business","3","30"
"All","Commuting","15","143"
"All","Education/escort","13","121"
"All","Leisure","26","248"
"All","Personal business","9","91"
"All","Shopping","19","184"
"All","Other escort","9","85"
"All","Other inc just walk","6","56"
"Asian","Business","2","19"
"Asian","Commuting","19","154"
"Asian","Education/escort","21","173"
"Asian","Leisure","17","140"
"Asian","Personal business","11","86"
"Asian","Shopping","17","137"
"Asian","Other escort","9","73"
"Asian","Other inc just walk","3","27"
"Black","Business","3","26"
"Black","Commuting","19","143"
"Black","Education/escort","23","175"
"Black","Leisure","17","129"
"Black","Personal business","13","102"
"Black","Shopping","15","116"
"Black","Other escort","9","66"
"Black","Other inc just walk","2","15"
"Mixed","Business","2","20"
"Mixed","Commuting","12","106"
"Mixed","Education/escort","24","225"
"Mixed","Leisure","24","225"
"Mixed","Personal business","8","70"
"Mixed","Shopping","14","131"
"Mixed","Other escort","10","96"
"Mixed","Other inc just walk","5","45"
"White","Business","3","31"
"White","Commuting","15","143"
"White","Education/escort","11","111"
"White","Leisure","27","265"
"White","Personal business","9","92"
"White","Shopping","20","193"
"White","Other escort","9","87"
"White","Other inc just walk","6","61"
"Other","Business","3","26"
"Other","Commuting","18","148"
"Other","Education/escort","23","192"
"Other","Leisure","17","142"
"Other","Personal business","8","65"
"Other","Shopping","17","146"
"Other","Other escort","10","88"
"Other","Other inc just walk","4","32"
