"Measure","Time","Time_Type","Ethnicity","Ethnicity_Type","Trip_Purpose","Value","Weighted_Sample_Trips","Unweighted_Sample_Trips","Weighted_Sample_Individuals","Unweighted_Sample_Individuals","Weighted_Sample_Distance","Unweighted_Sample_Distance","Notes"
"Average distance per year by trip purpose","2002-2006","5-year rolling average","All ethnic groups","ONS 2011 5+1","All Purposes","7151","1693912","1551557","82950","81145","11375897","10590311","             "
"Average distance per year by trip purpose","2002-2006","5-year rolling average","All ethnic groups","ONS 2011 5+1","Business","703","56610","53416","82950","81145","1117814","1065118","             "
"Average distance per year by trip purpose","2002-2006","5-year rolling average","All ethnic groups","ONS 2011 5+1","Commuting","1413","262303","230110","82950","81145","2247728","1992119","             "
"Average distance per year by trip purpose","2002-2006","5-year rolling average","All ethnic groups","ONS 2011 5+1","Education / escort education","317","187619","178532","82950","81145","504376","480379","             "
"Average distance per year by trip purpose","2002-2006","5-year rolling average","All ethnic groups","ONS 2011 5+1","Leisure","2816","440033","414330","82950","81145","4479398","4300082","             "
"Average distance per year by trip purpose","2002-2006","5-year rolling average","All ethnic groups","ONS 2011 5+1","Other escort","485","155363","143416","82950","81145","771567","711234","             "
"Average distance per year by trip purpose","2002-2006","5-year rolling average","All ethnic groups","ONS 2011 5+1","Other including just walk","45","68554","64437","82950","81145","71281","69041","             "
"Average distance per year by trip purpose","2002-2006","5-year rolling average","All ethnic groups","ONS 2011 5+1","Personal business","489","177289","161804","82950","81145","778176","713755","             "
"Average distance per year by trip purpose","2002-2006","5-year rolling average","All ethnic groups","ONS 2011 5+1","Shopping","883","346140","305512","82950","81145","1405557","1258582","             "
"Average distance per year by trip purpose","2002-2006","5-year rolling average","Asian / Asian British","ONS 2011 5+1","All Purposes","4567","71078","58923","4229","3711","370467","307282","             "
"Average distance per year by trip purpose","2002-2006","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Business","274","1540","1313","4229","3711","22215","19181","             "
"Average distance per year by trip purpose","2002-2006","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Commuting","1145","12347","9769","4229","3711","92879","74067","             "
"Average distance per year by trip purpose","2002-2006","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Education / escort education","434","14115","12378","4229","3711","35209","29813","             "
"Average distance per year by trip purpose","2002-2006","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Leisure","1598","14696","12241","4229","3711","129611","109496","             "
